; Collection List
; Amiga conventions: CollId, Filename , Width, Height, Pri, Depth, DiskNr, Length, Usage
; PC conventions: CollId, Filename, Width, Height, ColorsBegin, ColorsEnd
1,sky1,320,140,0,191
2,sky2,320,140,0,191
3,sky3,320,140,0,191
4,sky4,320,140,0,191
5,sky5,320,140,0,191
6,sky6,320,140,0,191
7,sky7,320,140,0,191
8,sky8,320,140,0,191
9,sky9,320,140,0,191
10,sky10,320,140,0,191
11,sky11,320,140,0,191
12,sky12,320,140,0,191
13,sky13,320,140,0,191
14,sky14,320,140,0,191
15,sky15,320,140,0,191
16,sky16,320,140,0,191
17,sky17,320,140,0,191
18,sky18,320,140,0,191
19,sky19,320,140,0,191
20,sky1.ani,320,15,0,191
21,sky2.ani,288,25,0,191
22,sky3.ani,64,17,0,191
23,sky4.ani,176,84,0,191
24,sky5.ani,128,28,0,191
25,sky6.ani,128,32,0,191
26,sky7.ani,320,72,0,191
27,sky8.ani,208,84,0,191
28,sky9.ani,192,28,0,191
29,sky10.ani,160,26,0,191
30,sky11.ani,128,40,0,191
31,sky12.ani,128,39,0,191
32,sky13.ani,128,31,0,191
33,sky14.ani,320,30,0,191
34,sky15.ani,64,38,0,191
35,sky16.ani,96,10,0,191
36,sky17.ani,128,25,0,191
37,sky18.ani,64,17,0,191
38,sky19.ani,48,19,0,191
39,garage,320,140,0,191
40,parking,320,140,0,191
41,vans,320,140,0,191
42,kaserne,320,140,0,191
43,kloster,320,140,0,191
44,mafia,320,140,0,191
45,police,320,140,0,191
46,pub,320,140,0,191
47,street1,320,140,0,191
48,street2,320,140,0,191
49,walrus,320,140,0,191
50,hotel,320,140,0,191
51,wohnung,320,140,0,191
52,hehler1,320,140,0,191
53,hehler2,320,140,0,191
54,hehler3,320,140,0,191
55,werkzeug,320,140,0,191
56,sabien,320,140,0,191
57,vans.ani,160,34,0,191
58,kaserne.ani,96,30,0,191
59,kloster.ani,264,72,0,191
60,police.ani,280,82,0,191
61,pub.ani,240,29,0,191
62,street1.ani,160,72,0,191
63,street2.ani,182,49,0,191
64,walrus.ani,192,53,0,191
65,wohnung.ani,84,28,0,191
66,taxi,320,140,0,191
67,cludo,80,64,0,191
68,prison,80,64,0,191
69,whisky,80,96,0,191
70,spaziern,80,64,0,191
71,birthday,240,20,0,191
72,kuss,80,64,0,191
73,telephon,80,64,0,191
74,cracks,168,62,0,191
75,sleep.ani,240,64,0,191
76,cemetery,320,140,0,191
77,cemetery.ani,240,56,0,191
78,shampton,320,140,0,191
79,landmatt,72,76,0,191
80,family,96,95,0,191
81,theend,112,24,0,191
82,shampto2,320,140,0,191
83,rezeptio,320,140,0,191
84,rezeptio.ani,320,60,0,191
85,cadillac,224,66,0,191
86,jeep,144,86,0,191
87,triumph,168,69,0,191
88,opel,176,68,0,191
89,standard,168,69,0,191
90,jaguar,176,69,0,191
91,pontiac,216,78,0,191
92,fiat,160,71,0,191
93,morris,176,78,0,191
94,marcsmih,320,140,0,191
95,explosi1.ani,320,128,0,191
96,explosi2.ani,320,64,0,191
97,rep.ani,240,128,0,191
98,lack.ani,240,128,0,191
99,faces1,310,134,192,223
100,faces2,186,67,192,223
101,faces3,248,134,192,223
102,faces4,310,134,192,223
103,faces5,124,67,192,223
104,faces6,124,67,192,223
105,faces7,248,134,192,223
106,faces8,248,67,192,223
107,faces9,248,67,192,223
108,faces10,248,67,192,223
109,tools1,186,134,192,223
110,tools2,310,134,192,223
111,tools3,248,134,192,223
112,tools4,248,67,192,223
113,objects1,186,67,192,223
114,objects2,186,134,192,223
115,objects3,124,67,192,223
116,objects4,310,134,192,223
117,objects5,310,67,192,223
118,objects6,62,67,192,223
119,objects7,62,67,192,223
120,objects8,124,67,192,223
121,objects9,62,67,192,223
122,object10,124,67,192,223
123,object11,62,67,192,223
124,object12,62,67,192,223
125,object13,62,67,192,223
126,object14,62,67,192,223
127,object15,62,67,192,223
128,menu,320,120,192,246
129,bubble,264,133,224,227
130,coming,320,140,0,191
131,bahnhof,320,140,0,191
132,bahnhof.ani,198,72,0,191
133,mattbart,62,67,192,223
134,tools5,186,67,192,223
135,funk,62,67,192,223
136,organisa,320,140,0,191
137,allmaxi,320,182,128,191
138,leer,0,0,0,0
139,boden1,320,32,0,0
140,boden0,320,32,0,0
141,objecte1,320,192,0,127
142,objecte2,288,192,0,127
143,objecte3,288,32,0,127
144,objecte4,288,144,0,127
145,objecte5,320,32,0,127
146,objecte1,320,192,0,127
147,action,320,140,0,255
148,automap,320,140,0,191
149,dart,124,124,0,191
