; Picture List for Der Clou!
; PictId, CollId, XOffset, YOffset, Width, Height, DestX, DestY
1,129,0,0,240,54,80,0
2,94,0,0,320,140,0,0
3,136,0,0,320,140,0,0
4,66,0,0,320,140,0,0
5,129,0,0,240,54,80,0
6,129,0,0,240,54,80,0
7,99,0,67,62,67,0,0
8,49,0,0,320,140,0,0
9,129,0,79,48,29,59,10
10,129,0,54,48,25,59,10
11,0,0,0,0,0,0,0
12,129,48,54,216,54,104,0
13,129,48,54,216,54,104,0
14,129,48,54,216,54,104,0
15,129,48,54,216,54,104,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,128,0,60,320,60,0,140
22,128,0,60,320,60,0,140
23,128,0,0,320,60,0,140
24,128,0,0,320,60,0,140
25,129,0,116,32,17,280,0
26,39,0,0,320,140,0,0
27,40,0,0,320,140,0,0
28,1,0,0,320,140,0,0
29,2,0,0,320,140,0,0
30,3,0,0,320,140,0,0
31,4,0,0,320,140,0,0
32,5,0,0,320,140,0,0
33,6,0,0,320,140,0,0
34,7,0,0,320,140,0,0
35,8,0,0,320,140,0,0
36,9,0,0,320,140,0,0
37,10,0,0,320,140,0,0
38,11,0,0,320,140,0,0
39,12,0,0,320,140,0,0
40,13,0,0,320,140,0,0
41,14,0,0,320,140,0,0
42,15,0,0,320,140,0,0
43,16,0,0,320,140,0,0
44,17,0,0,320,140,0,0
45,18,0,0,320,140,0,0
46,86,0,0,144,86,88,52
47,87,0,0,168,69,76,60
48,85,0,0,224,66,48,60
49,88,0,0,176,68,72,60
50,89,0,0,168,69,76,60
51,90,0,0,176,69,72,60
52,91,0,0,216,78,52,60
53,92,0,0,160,71,80,60
54,93,0,0,176,78,72,60
55,0,0,0,0,0,0,0
56,99,62,0,62,67,0,0
56,99,248,0,62,67,0,0
58,41,0,0,320,140,0,0
59,102,248,0,62,67,0,0
60,99,0,0,62,67,0,0
61,101,124,67,62,67,0,0
62,104,62,0,62,67,0,0
63,107,0,0,62,67,0,0
64,99,124,0,62,67,0,0
65,99,186,0,62,67,0,0
66,99,62,67,62,67,0,0
66,99,124,67,62,67,0,0
68,99,186,67,62,67,0,0
69,99,248,67,62,67,0,0
