AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
A                  AC                                         AA
A                  AC                                         AA
A                  AC                 C                       AA
A                  AC                 C                       AA
A                  AC                 C                       AA
A                  AC                 C                       AA
A                  AC                 C                       AA
A                  AC                 C                       AA
A                  AC                 C                       AA
A                  AC                 C                       AA
A                  AC                 C                       AA
A                  AC                 C                       AA
A                  AC                 C                       AA
A                  AC                 C                       AA
A                  AC                 C                       AA
A                  AC                 C                       AA
A                CCCCCCCCCCCC CCCCCCCCCAAA                    AA
A                CCBCBCBCBCBC CBCBCBCBCBCA                    AA
A                CB                     BA                    AA
A  CCCCCCCCCCCCCCCC                     CCCCCCCCCCC  CCCCCCCCCAA
A                 B                     BA                    AA
A                 C                     CA                    AA
A                 B                     BA                    AA
A                 C                     CA                    AA
A                 B                     BA                    AA
A                 C                     CA                    AA
A             C   B                     BA                    AA
A             C   CBCBCBCBC             CA                    AA
A             C           B             BA                    AA
A             C   C       C             CA                    AA
A             C   B       B             BA                    AA
A                 C       C             CA                    AA
A                 B       B             BA                    AA
A                 C       C             CA                    AA
A                 B       B             BA                    AA
A                 C       C             CA                    AA
A                 B       B             BA                    AA
ACCCCCCCCCCCCCCCCCC       C             CCCCCCCCCCCCCCCCCCCC  AA
A                         B             B                     AA
A                         C             C                     AA
A                 CBCBCBCBCBC CBCBCBCBCBC                     AA
A                 CCCCCCCCCCC CCCCCCCCCCC                     AA
A                 CCC                 CCC                     AA
A                 CCC                 CCC                     AA
A                 CCC                 CCC                     AA
A                 CCC                 CCC                     AA
A                 CCC                 CCC                     AA
A                 CCC                 CCC                     AA
A                 CCC                 CCC                     AA
A                 CCC                 CCC                     AA
A                 CCC                 CCC                     AA
A                 CCC      D   D      CCC                     AA
A                 CCC      DYZYD      CCC                     AA
A                 CCC      D   D      CCC                     AA
A                 CCC      DE ED      CCC                     AA
A                 CCC      DE ED      CCC                     AA
A                 CCC      DE ED      CCC                     AA
A                 CCC      DEEED      CCC                     AA
A                 CCCCCCCCCCCCCCCCCCCCCCC                     AA
A                 CCCCCCCCCCCCCCCCCCCCCCC                     AA
A                                                             AA
A                                                             AA
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA

