Water|水場|Eau|Wasser|Agua
Deep Water|深い水場|Eau profonde|Tiefes Wasser|Agua Profunda
Swamp Grass|水草|Herbe de marais|Sumpfgras|Hierba de Pantano
Lotus Pads (Flowers)|蓮の葉（花）|Lotus (fleurs)|Lotus Blüten|Flores de Loto
Lava|溶岩|Lave|Lava|Lava
Waterfall (Lava Cave)|滝（溶岩洞窟）|Cascade (grotte de lave)|Lavafall|Cascada (Cueva de Lava)
Water (Grass Maze)|水場（草迷宮）|Eau (labyrinthe végétal)|Wasserloch (Pflanzenlabyrinth)|Agua (Laberinto Verde)
Waterfall (Grass Maze)|滝（草迷宮）|Cascade (labyrinthe végétal)|Wasserfall (Pflanzenlabyrinth)|Cascada (Laberinto Verde)
Water (Dirt Cave)|水場（土洞窟）|Eau (grotte de terre)|Wasser (Erdhöhle)|Agua (Cueva de Tierra)
Waterfall (Dirt Cave)|滝（土洞窟）|Cascade (grotte de terre)|Wasserfall (Erdhöhle)|Cascada (Cueva de Tierra)
Water (Rock Cave)|水場（岩洞窟）|Eau (grotte de roche)|Wasser (Felshöhle)|Agua (Cueva Rocosa)
Waterfall (Rock Cave)|滝（岩洞窟）|Cascade (grotte de roche)|Wasserfall (Felshöhle)|Cascada (Cuerva Rocosa)
Water (Crystal)|水場（水晶）|Eau (crystal)|Wasser (Kristallkaverne)|Agua (Cristal)
Waterfall (Crystal)|滝（水晶）|Cascade (crystal)|Wasserfall (Kristallkaverne)|Cascada (Cristal)
Canal|水路|Canal|Kanal (Mauern)|Canal
Waterfall (Stone Wall)|滝（石壁）|Cascade (mur en pierre)|Wasserfall (Mauern)|Cascada (Pared de Piedra)
