Ground (Dirt Cave)|床（土洞窟）|Sol (grotte de terre)|Boden (Erdhöhle)|Suelo (Cueva de Tierra)
Ground (Grass Maze)|床（草迷宮）|Sol (labyrinthe végétal)|Boden (Pflanzenlabyrinth)|Suelo (Laberinto Verde)
Dark Ground (Dirt Cave)|濃い床（土洞窟）|Sol sombre (grotte de terre)|Dunkler Boden (Erdhöhle)|Suelo Oscuro (Cueva de Tierra)
Dark Ground (Grass Maze)|濃い床（草迷宮）|Sol sombre (labyrinthe végétal)|Dunkler Boden (Pflanzenlabyrinth)|Suelo Oscuro (Laberinto Verde)
Hole (Dirt Cave)|穴（土洞窟）|Trou (grotte de terre)|Bodenloch (Erdhöhle)|Agujero (Cueva de Tierra)
Hole (Grass Maze)|穴（草迷宮）|Trou (labyrinthe végétal)|Bodenloch (Pflanzenlabyrinth)|Agujero (Laberinto Verde)
Hole (Stone Floor)|穴（石の床）|Trou (sol en pierre)|Bodenloch (Steinboden)|Agujero (Suelo de Piedra)
Ground Cracks|床のひび割れ|Fissures au sol|Bodenrisse|Suelo Roto
Ground (Rock Cave)|床（岩洞窟）|Sol (grotte de roche)|Boden (Felshöhle)|Suelo (Cueva de Piedra)
Ground (Crystal)|床（水晶）|Sol (crystal)|Boden (Kristallkaverne)|Suelo (Cristal)
Dark Ground (Rock Cave)|濃い床（岩洞窟）|Sol foncé (grotte de roche)|Dunkler Boden (Felshöhle)|Suelo Oscuro (Cueva de Piedra)
Dark Ground (Crystal)|濃い床（水晶）|Sol foncé (crystal)|Dunkler Boden (Kristallkaverne)|Suelo Oscuro (Cristal)
Hole (Rock Cave)|穴（岩洞窟）|Trou (grotte de roche)|Bodenloch (Felshöhle)|Agujero (Cueva de Piedra)
Hole (Crystal)|穴（水晶）|Trou (crystal)|Bodenloch (Kristallkaverne)|Agujero (Cristal)
Hole|穴|Trou|Bodenloch|Agujero
Soil on Ground|床の汚れ|Tas de poussière|Schmutz auf dem Boden|Mancha en Suelo
Ground (Lava Cave)|床（溶岩洞窟）|Sol (grotte de lave)|Boden (Lavahöhle)|Suelo (Cueva de Lava)
Ground (In Body)|床（体内）|Sol (dans le corps)|Boden (im Körper des Giganten)|Suelo (Cuerpo Interior)
Dark Ground (Lava Cave)|濃い床（溶岩洞窟）|Sol foncé (grotte de lave)|Dunkler Boden (Lavahöhle)|Suelo Oscuro (Cueva de Lava)
Rug|じゅうたん|Tapis|Teppich|Suelo Oscuro (Cuerpo Interior)
Hole (Lava Cave)|穴（溶岩洞窟）|Trou (grotte de lave)|Bodenloch (Lavahöhle)|Agujero (Cueva de Lava)
Hole (In Body)|穴（体内）|Trou (dans le corps)|Bodenloch (im Körper des Riesen)|Agujero (Cuerpo Interior)
Fencepost|柵|Clôture|Zaunpfosten|Valla
Moss on Ground|床の苔|Mousse au sol|Moos auf dem Boden|Musgo en Suelo
Ground (Ice Cave)|床（氷洞窟）|Sol (grotte de glace)|Boden (Eishöhle)|Suelo (Cueva de Hielo)
Ground (Demonic World)|床（魔界）|Sol (monde démoniaque)|Boden (Dämonische Welt)|Suelo (Mundo Demoníaco)
Dark Ground (Ice Cave)|濃い床（氷洞窟）|Sol foncé (grotte de glace)|Dunkler Boden (Eishöhle)|Suelo Oscuro (Cueva de Hielo)
Rug|じゅうたん|Tapis|Teppich|Alfombra
Hole (Ice Cave)|穴（氷洞窟）|Trou (grotte de glace)|Bodenloch (Eishöhle)|Agujero (Cueva de Hielo)
Hole (Demonic World)|穴（魔界）|Trou (monde démoniaque)|Bodenloch (Dämonische Welt)|Agujero (Mundo Demoníaco)
Raised Stone|石段|Muret|Steinpodest|Piedra Elevada
Poison Swamp|毒の沼|Marais empoisonné|giftiger Sumpf|Pantano Venenoso
