Transparent|透明|Transparent|Unsichtbar (erfordert Passierbarkeit = Stern, wenn in B-Slot)|Transparente
Beanstalk|豆の木|Branche de haricot|Bohnenstange (Pflanze)|Planta
Stairs (Up)|階段（上り）|Escalier (montée)|Steintreppe (rechts hoch)|Escaleras (Arriba)
Stairs (Up)|階段（上り）|Escalier (montée)|Steintreppe (links hoch)|Escaleras (Arriba)
Metal Ladder|鉄ばしご|Échelle en métal|Metalleiter (oben)|Escalera de Metal
Rope Ladder|縄ばしご|Échelle de corde|Strickleiter (oben)|Escalera de Cuerda
Rope|ロープ|Corde|Seil (mitte)|Cuerda
Vines|ツタ|Plantes grimpantes|Kletterpflanze (mitte)|Planta
Beanstalk (Snow)|豆の木（雪）|Branche de haricot (neige)|Bohnenstange (verschneite Pflanze)|Planta (Nieve)
Beanstalk (Dead)|豆の木（枯れ）|Branche de haricot (mort)|Bohnenstange (tote Pflanze)|Planta (Muerta)
Stairs (Down)|階段（下り）|Escalier (descente)|Steintreppe (links herunter)|Escaleras (Abajo)
Stairs (Down)|階段（下り）|Escalier (descente)|Steintreppe (rechts herunter)|Escaleras (Abajo)
Metal Ladder|鉄ばしご|Échelle en métal|Metalleiter (mitte)|Escalera de Metal
Rope Ladder|縄ばしご|Échelle de corde|Strickleiter (mitte)|Escalera de Cuerda
Rope|ロープ|Corde|Seil (mitte)|Cuerda
Vines|ツタ|Plantes grimpantes|Kletterpflanze (unten)|Planta
Crumbling Wall|崩れた壁|Mur effondré|Wandloch|Pared Rota
Dug-Up Ground|掘られた床|Sol creusé|Bodenloch (gegraben)|Suelo Cavado
Stairs (Up)|階段（上り）|Escalier (montée)|Holztreppe (rechts hoch)|Escaleras (Arriba)
Stairs (Up)|階段（上り）|Escalier (montée)|Holztreppe (links hoch)|Escaleras (Arriba)
Metal Ladder|鉄ばしご|Échelle en métal|Metalleiter (unten)|Escalera de Metal
Rope Ladder|縄ばしご|Échelle de corde|Strickleiter (unten)|Escalera de Cuerda
Rope|ロープ|Corde|Seil (unten)|Cuerda
Vines|ツタ（下り）|Plantes grimpantes (descente)|Kletterpflanze (ins Loch)|Planta
Crumbling Wall|崩れた壁|Mur effondré|Wandloch|Pared Rota
Dug-Up Ground|掘られた床|Sol creusé|Bodenloch (gegraben)|Suelo Cavado
Stairs (Down)|階段（下り）|Escalier (descente)|Holztreppe (links unten)|Escaleras (Abajo)
Stairs (Down)|階段（下り）|Escalier (descente)|Holztreppe (rechts unten)|Escaleras (Abajo)
Hole (Metal Ladder)|穴（鉄ばしご）|Trou (échelle en métal)|Metalleiter (ins Loch)|Escalera de Metal
Hole (Rope Ladder)|穴（縄ばしご）|Trou (échelle de corde)|Seilleiter (ins Loch)|Escalera de Cuerda
Hole (Rope)|穴（ロープ）|Trou (corde)|Seil (ins Loch)|Cuerda
Hole|穴|Trou|Bodenloch (gemauert)|Planta
Log Bridge (V)|丸太の橋（縦）|Pont en rondins (V)|Baumstammbrücke (V)|Puente de Troncos (V)
Log Bridge (H)|丸太の橋（横）|Pont en rondins (H)|Baumstammbrücke (H)|Puente de Troncos (H)
Wood Bridge (V)|木の橋（縦）|Pont en bois (V)|Holzbrücke (V)|Puente de Madera (V)
Wood Bridge (H)|木の橋（横）|Pont en bois (H)|Holzbrücke (H)|Puente de Madera (H)
Stone Bridge (V)|石の橋（縦）|Pont en pierre (V)|Steinbrücke (V)|Puente de Piedra (V)
Stone Bridge (H)|石の橋（横）|Pont en pierre (H)|Steinbrücke (H)|Puente de Piedra (H)
Wood Bridge (V)|木の橋（縦）|Pont en bois (V)|Holzbrücke (H)|Puente de Madera (V)
Wood Bridge (H)|木の橋（横）|Pont en bois (H)|Holzbrücke (H)|Puente de Madera (H)
Bridge Spar (Wood)|橋げた（木）|Poutre de pont (bois)|Brückenträger (Holz)|Viga de puente (Madera)
Bridge Spar (Wood)|橋げた（木）|Poutre de pont (bois)|Brückenträger (Holz)|Viga de puente (Madera)
Bridge Spar (Wood)|橋げた（木）|Poutre de pont (bois)|Brückenträger (Holz)|Viga de puente (Madera)
Bridge Spar (Wood)|橋げた（木）|Poutre de pont (bois)|Brückenträger (Holz)|Viga de puente (Madera)
Bridge Spar (Stone)|橋げた（石）|Poutre de pont (pierre)|Brückenträger (Stein)|Viga de puente (Piedra)
Bridge Spar (Stone)|橋げた（石）|Poutre de pont (pierre)|Brückenträger (Stein)|Viga de puente (Piedra)
Bridge Spar (Stone)|橋げた（石）|Poutre de pont (pierre)|Brückenträger (Stein)|Viga de puente (Piedra)
Bridge Spar (Stone)|橋げた（石）|Poutre de pont (pierre)|Brückenträger (Stein)|Viga de puente (Piedra)
Gravel (Dirt Cave)|砂利（土洞窟）|Gravier (grotte de terre)|Kies (Erdhöhle)|Gravilla (Cueva de Tierra)
Gravel (Rock Cave)|砂利（岩洞窟）|Gravier (grotte de roche)|Kies (Felshöhle)|Gravilla (Cueva de Piedra)
Gravel (Lava Cave)|砂利（溶岩洞窟）|Gravier (grotte de lave)|Kies (Lavahöhle)|Gravilla (Cueva de Lava)
Gravel (Ice Cave)|砂利（氷洞窟）|Gravier (grotte de glace)|Kies (Eishöhle)|Gravilla (Cueva de Hielo)
Small Sprouts|小さな芽|Petites pousses|Sprösslinge|Brotes Verdes
Gravel (Crystal)|砂利（水晶）|Gravier (crystal)|Kies (Kristall)|Gravilla (Cristal)
Detritus (In Body)|床装飾（体内）|Détritus (dans le corps)|Geröll (Im Körper des Giganten)|Restos (Cuerpo Interior)
Detritus (Demonic World)|床装飾（魔界）|Détritus (monde démoniaque)|Geröll (Dämonische Welt)|Restos (Mundo Demoníaco)
Boulder (Dirt Cave)|岩（土洞窟）|Rocher (grotte de terre)|Felsbrocken (Erdhöhle)|Roca (Cueva de Tierra)
Boulder (Rock Cave)|岩（岩洞窟）|Rocher (grotte de roche)|Felsbrocken (Felshöhle)|Roca (Cueva de Piedra)
Boulder (Lava Cave)|岩（溶岩洞窟）|Rocher (grotte de lave)|Felsbrocken (Lavahöhle)|Roca (Cueva de Lava)
Boulder (Ice Cave)|岩（氷洞窟）|Rocher (grotte de glace)|Felsbrocken (Eishöhle)|Roca (Cueva de Hielo)
Boulder (Grass Maze)|岩（草迷宮）|Rocher (labyrinthe végétal)|Felsbrocken (Pflanzenlabyrinth)|Roca (Laberinto Verde)
Crystal|水晶|Crystal|Kristall|Cristal
Spherical Lump|球状突起物|Protubérance sphérique|Runder Gewebeknoten|Masa Esférica
Boulder (Demonic World)|岩（魔界）|Rocher (monde démoniaque)|Felsbrocken (Dämonische Welt)|Roca (Mundo Demoníaco)
Tall Rock (Dirt Cave)|大きな岩（土洞窟）|Grand rocher (grotte de terre)|Großer Felsen (Erdhöhle)|Roca Alta (Cueva de Tierra)
Tall Rock (Rock Cave)|大きな岩（岩洞窟）|Grand rocher (grotte de roche)|Großer Felsen (Felshöhle)|Roca Alta (Cueva de Piedra)
Tall Rock (Lava Cave)|大きな岩（溶岩洞窟）|Grand rocher (grotte de lave)|Großer Felsen (Lavahöhle)|Roca Alta (Cueva de Lava)
Tall Rock (Ice Cave)|大きな岩（氷洞窟）|Grand rocher (grotte de glace)|Großer Felsen (Eishöhle)|Roca Alta (Cueva de Hielo)
Tall Rock (Grass Maze)|大きな岩（草迷宮）|Grand rocher (labyrinthe végétal)|Großer Felsen (Pflanzenlabyrinth)|Roca Alta (Laberinto Verde)
Large Crystal|大きな水晶|Grand crystal|Großer Kristall|Cristal Grande
Large Growth|大型突起物|Grande protubérance|Großer Auswuchs|Masa Grande
Tall Rock (Demonic World)|大きな岩（魔界）|Grand rocher (monde démoniaque)|Großer Felsen (Dämonische Welt)|Roca Alta (Mundo Demoníaco)
Tall Rock (Dirt Cave)|大きな岩（土洞窟）|Grand rocher (grotte de terre)|Großer Felsen (Erdhöhle)|Roca Alta (Cueva de Tierra)
Tall Rock (Rock Cave)|大きな岩（岩洞窟）|Grand rocher (grotte de roche)|Großer Felsen (Felshöhle)|Roca Alta (Cueva de Piedra)
Tall Rock (Lava Cave)|大きな岩（溶岩洞窟）|Grand rocher (grotte de lave)|Großer Felsen (Lavahöhle)|Roca Alta (Cueva de Lava)
Tall Rock (Ice Cave)|大きな岩（氷洞窟）|Grand rocher (grotte de glace)|Großer Felsen (Eishöhle)|Roca Alta (Cueva de Hielo)
Tall Rock (Grass Maze)|大きな岩（草迷宮）|Grand rocher (labyrinthe végétal)|Großer Felsen (Pflanzenlabyrinth)|Roca Alta (Laberinto Verde)
Large Crystal|大きな水晶|Grand crystal|Großer Kristall|Cristal Grande
Large Growth|大型突起物|Grande protubérance|Großer Auswuchs|Masa Grande
Tall Rock (Demonic World)|大きな岩（魔界）|Grand rocher (monde démoniaque)|Großer Felsen (Dämonische Welt)|Roca Alta (Mundo Demoníaco)
Stone Pillar|石の柱|Pilier en pierre|Steinsäule|Pilar de Piedra
Stone Pillar|石の柱|Pilier en pierre|Steinsäule|Pilar de Piedra
Stone Pillar|石の柱|Pilier en pierre|Steinsäule|Pilar de Piedra
Stone Pillar (Moss)|石の柱（苔）|Pilier en pierre (mousse)|Steinsäule (Moos)|Pilar de Piedra (Musgo)
Stone Pillar (Ice)|石の柱（氷）|Pilier en pierre (glace)|Steinsäule (Frost)|Pilar de Piedra (Hielo)
Wood Pillar|木の柱|Pilier en bois|Baumstamm (stehend)|Pilar de Madera
Stone Pillar|石の柱|Pilier en pierre|Verzierte Steinsäule|Pilar de Piedra
Orb Pillar|オーブの柱|Pilier d'orbe|Kugel auf Säule|Pilar Mágico
Stone Pillar|石の柱|Pilier en pierre|Steinsäule|Pilar de Piedra
Stone Pillar|石の柱|Pilier en pierre|Steinsäule|Pilar de Piedra
Stone Pillar|石の柱|Pilier en pierre|Steinsäule|Pilar de Piedra
Stone Pillar (Moss)|石の柱（苔）|Pilier en pierre (mousse)|Steinsäule (Moos)|Pilar de Piedra (Musgo)
Stone Pillar (Ice)|石の柱（氷）|Pilier en pierre (glace)|Steinsäule (Frost)|Pilar de Piedra (Hielo)
Wood Pillar|木の柱|Pilier en bois|Baumstamm (stehend)|Pilar de Madera
Stone Pillar|石の柱|Pilier en pierre|Verzierte Steinsäule|Pilar de Piedra
Orb Pillar|オーブの柱|Pilier d'orbe|Kugel auf Säule|Pilar Mágico
Broken Stone Pillar|折れた石の柱|Pilier en pierre brisé|Kaputte Steinsäule|Pilar de Piedra Roto
Broken Stone Pillar|折れた石の柱|Pilier en pierre brisé|Kaputte Steinsäule|Pilar de Piedra Roto
Broken Stone Pillar|折れた石の柱|Pilier en pierre brisé|Kaputte Steinsäule|Pilar de Piedra Roto
Broken Stone Pillar (Moss)|折れた石の柱（苔）|Pilier en pierre brisé (mousse)|Kaputte Steinsäule (Moos)|Pilar de Piedra Roto (Musgo)
Broken Stone Pillar (Ice)|折れた石の柱（氷）|Pilier en pierre brisé (mousse)|Kaputte Steinsäule (Frost)|Pilar de Piedra Roto (Hielo)
Broken Wood Pillar|折れた木の柱|Pilier en bois brisé|Abgebrochener Baumstamm (stehend)|Pilar de Madera Roto
Broken Stone Pillar|折れた石の柱|Pilier en bois brisé|Kaputte verzierte Steinsäule|Pilar de Piedra Roto
Broken Orb Pillar|折れたオーブの柱|Pilier d'orbe brisé|Kaputte Steinsäule (Kugel auf Säule)|Pilar Mágico Roto
Rubble|瓦礫|Décombres|Stein-Schutt|Escombros
Rubble (Moss)|瓦礫（苔）|Décombres (mousse)|Stein-Schutt (Moos)|Escombros (Musgo)
Rubble (Ice)|瓦礫（氷）|Décombres (glace)|Stein-Schutt (Frost)|Escombros (Hielo)
Broken Wood Pillar|折れた木の柱|Pilier en bois brisé|Zerbrochener Baumstamm (liegend)|Pilar de Madera Roto
Rubble|瓦礫|Décombres|Stein-Schutt (braun)|Escombros
Scrap Wood|端材|Bout de bois|Holzplanken|Madera Rota
Barricade (H)|バリケード（横）|Barricade (H)|Barriere (H)|Barricada (H)
Barricade (V)|バリケード（縦）|Barricade (V)|Barriere (V)|Barricada (V)
Wall Bracing|壁の補強材|Renfort de mur|Wandabstützung|Refuerzo de Pared
Wall Bracing|壁の補強材|Renfort de mur|Wandabstützung|Refuerzo de Pared
Wall Bracing|壁の補強材|Renfort de mur|Wandabstützung|Refuerzo de Pared
Wall Bracing|壁の補強材|Renfort de mur|Wandabstützung|Refuerzo de Pared
Wall Bracing|壁の補強材|Renfort de mur|Wandabstützung|Refuerzo de Pared
Wall Bracing (Abandoned Mine)|壁の補強材（廃坑）|Renfort de mur (mine abandonnée)|Wandabstützung (Verlassene Mine)|Refuerzo de Pared (Roto)
Wall Bracing (Abandoned Mine)|壁の補強材（廃坑）|Renfort de mur (mine abandonnée)|Wandabstützung (Verlassene Mine)|Refuerzo de Pared (Roto)
Wall Bracing (Abandoned Mine)|壁の補強材（廃坑）|Renfort de mur (mine abandonnée)|Wandabstützung (Verlassene Mine)|Refuerzo de Pared (Roto)
Wall Bracing|壁の補強材|Renfort de mur|Wandabstützung|Refuerzo de Pared
Wall Bracing|壁の補強材|Renfort de mur|Wandabstützung|Refuerzo de Pared
