Darkness|暗闇|Obscurité|Dunkelheit|Oscuridad
Wire Mesh|金網|Grillage|Gitterboden|Rejilla
Stone Bridge (V)|石の橋（縦）|Pont en pierre (V)|Steinbrücke (V)|Puente de Piedra (V)
Stone Bridge (V)|石の橋（縦）|Pont en pierre (V)|Steinbrücke (V)|Puente de Piedra (V)
Stone Bridge (V)|石の橋（縦）|Pont en pierre (V)|Steinbrücke (V)|Puente de Piedra (V)
Stone Bridge (H)|石の橋（横）|Pont en pierre (H)|Steinbrücke (H)|Puente de Piedra (H)
Stone Bridge (H)|石の橋（横）|Pont en pierre (H)|Steinbrücke (H)|Puente de Piedra (H)
Broken Bridge (H)|壊れた橋（横）|Pont brisé (H)|Kaputte Steinbrücke (H)|Puente Roto (H)
Transparent|透明|Transparent|Unsichtbar|Transparente
Wire Mesh|金網|Grillage|Absatz Gitterboden|Rejilla
Broken Bridge (V)|壊れた橋（縦）|Pont brisé (V)|Kaputte Steinbrücke (V)|Puente Roto (V)
Broken Bridge (V)|壊れた橋（縦）|Pont brisé (V)|Kaputte Steinbrücke (V)|Puente Roto (V)
Broken Bridge (V)|壊れた橋（縦）|Pont brisé (V)|Kaputte Steinbrücke (V)|Puente Roto (V)
Stone Bridge (H)|石の橋（横）|Pont en pierre (H)|Steinbrücke (H)|Puente de Piedra (H)
Broken Bridge (H)|壊れた橋（横）|Pont brisé (H)|Kaputte Steinbrücke (H)|Puente Roto (H)
Broken Bridge (H)|壊れた橋（横）|Pont brisé (H)|Kaputte Steinbrücke (H)|Puente Roto (H)
Wood Floor|木の床|Parquet|Parkett-Fußboden|Suelo de Madera
Wood Floor|木の床|Parquet|Parkett-Fußboden|Suelo de Madera
Wood Floor|木の床|Parquet|Baumstämme-Fußboden|Suelo de Madera
Wood Floor|木の床|Parquet|Baumstämme-Fußboden|Suelo de Madera
Cobblestones|石畳|Pavés|rotes Kopfsteinpflaster|Suelo de Calle
Cobblestones|石畳|Pavés|graues Kopfsteinpflaster|Suelo de Calle
Cobblestones|石畳|Pavés|Kopfsteinpflaster (Sandstein)|Suelo de Calle
Cobblestones|石畳|Pavés|eckiges Kopfsteinpflaster|Suelo de Calle
Ledge|段差|Rebord|Parkett-Kante|Elevación
Ledge|段差|Rebord|Parkett-Kante|Elevación
Ledge|段差|Rebord|Baumstamm-Kante|Elevación
Ledge|段差|Rebord|Baumstamm-Kante|Elevación
Ledge|段差|Rebord|rote Ziegel-Kante|Elevación
Ledge|段差|Rebord|graue Stein-Kante|Elevación
Ledge|段差|Rebord|grober Stein-Kante|Elevación
Ledge|段差|Rebord|Naturstein-Kante|Elevación
Cobblestones|石畳|Pavés|Sandsteinfliesen|Suelo de Calle
Cobblestones|石畳|Pavés|graue Steinfliesen|Suelo de Calle
Cobblestones|石畳|Pavés|braun gemusterte Steinfliesen|Suelo de Calle
Cobblestones|石畳|Pavés|grün gemusterte Steinfliesen|Suelo de Calle
Cobblestones|石畳|Pavés|graues Kopfsteinpflaster|Suelo de Calle
Cobblestones|石畳|Pavés|Kopfsteinpflaster|Suelo de Calle
Cobblestones|石畳|Pavés|grau gemusterte Steinfliesen|Suelo de Calle
Cobblestones|石畳|Pavés|zartrosa Steinfliesen|Suelo de Calle
Ledge|段差|Rebord|Sandstein-Kante|Elevación
Ledge|段差|Rebord|graue Ziegelstein-Kante|Elevación
Ledge|段差|Rebord|Ziegelstein-Kante|Elevación
Ledge|段差|Rebord|Holzbordüren-Kante|Elevación
Ledge|段差|Rebord|beige Wand-Kante|Elevación
Ledge|段差|Rebord|Steinbordüren-Kante|Elevación
Ledge|段差|Rebord|Marmor-Kante|Elevación
Ledge|段差|Rebord|braune Stein-Kante|Elevación
Interior Floor|内装床|Sol intérieur|Innenraum Strohboden|Suelo Interior
Interior Floor|内装床|Sol intérieur|Innenraum Ziegelboden|Suelo Interior
Interior Floor|内装床|Sol intérieur|Innenraum Marmorboden|Suelo Interior
Interior Floor|内装床|Sol intérieur|Innenraum Musterboden|Suelo Interior
Floor (Demon Castle)|床（魔王城）|Sol (château démoniaque)|Boden (Dämonenschloss)|Suelo (Castillo Demoníaco)
Floor (Concrete)|床（コンクリート）|Sol (béton)|Beton-Boden|Suelo (Cemento)
Floor (Tent)|床（テント）|Sol (tente)|Zelt-Boden|Suelo (Tienda de Campaña)
Floor (Dirt)|床（土）|Sol (terre)|Erd-Boden|Suelo (Tierra)
Ledge|段差|Rebord|Holzlatten-Kante|Elevación
Ledge|段差|Rebord|zartrosa Stein-Kante|Elevación
Ledge|段差|Rebord|Ziegelstein-Kante|Elevación
Ledge|段差|Rebord|Holzleisten-Kante|Elevación
Ledge|段差|Rebord|Dämonenschloss-Kante|Elevación
Ledge|段差|Rebord|Beton-Kante|Elevación
Ledge|段差|Rebord|graue Ziegelstein-Kante|Elevación
Ledge|段差|Rebord|Erd-Kante|Elevación
Stairs (Wood)|階段（木）|Escalier (bois)|Treppenstufen (Holz)|Escaleras (Madera)
Stairs (Wood)|階段（木）|Escalier (bois)|Treppenstufen (Holz)|Escaleras (Madera)
Stairs (Wood)|階段（木）|Escalier (bois)|Treppenstufen (Holz)|Escaleras (Madera)
Stairs (Wood)|階段（木）|Escalier (bois)|Treppenstufen (Holz)|Escaleras (Madera)
Stairs (Stone)|階段（石）|Escalier (pierre)|Treppenstufen (heller Stein)|Escaleras (Piedra)
Stairs (Stone)|階段（石）|Escalier (pierre)|Treppenstufen (heller Stein)|Escaleras (Piedra)
Stairs (Stone)|階段（石）|Escalier (pierre)|Treppenstufen (heller Stein)|Escaleras (Piedra)
Stairs (Stone)|階段（石）|Escalier (pierre)|Treppenstufen (heller Stein)|Escaleras (Piedra)
Stairs (Stone)|階段（石）|Escalier (pierre)|Treppenstufen (Stein)|Escaleras (Piedra)
Stairs (Stone)|階段（石）|Escalier (pierre)|Treppenstufen (Stein)|Escaleras (Piedra)
Stairs (Stone)|階段（石）|Escalier (pierre)|Treppenstufen (Stein)|Escaleras (Piedra)
Stairs (Stone)|階段（石）|Escalier (pierre)|Treppenstufen (Stein)|Escaleras (Piedra)
Stairs (Ruins)|階段（廃墟）|Escalier (ruines)|Kaputte Treppenstufen (Stein)|Escaleras (Ruinas)
Stairs (Ruins)|階段（廃墟）|Escalier (ruines)|Kaputte Treppenstufen (Stein)|Escaleras (Ruinas)
Stairs (Ruins)|階段（廃墟）|Escalier (ruines)|Kaputte Treppenstufen (Stein)|Escaleras (Ruinas)
Stairs (Ruins)|階段（廃墟）|Escalier (ruines)|Kaputte Treppenstufen (Stein)|Escaleras (Ruinas)
Stairs (Carpet)|階段（じゅうたん）|Escalier (tapis)|Roter Teppich auf Stufen|Escaleras (Alfombra)
Stairs (Carpet)|階段（じゅうたん）|Escalier (tapis)|Roter Teppich auf Stufen|Escaleras (Alfombra)
Stairs (Carpet)|階段（じゅうたん）|Escalier (tapis)|Roter Teppich auf Stufen|Escaleras (Alfombra)
Stairs (Carpet)|階段（じゅうたん）|Escalier (tapis)|Roter Teppich auf Stufen|Escaleras (Alfombra)
Stairs (Carpet)|階段（じゅうたん）|Escalier (tapis)|violetter Teppich auf Stufen|Escaleras (Alfombra)
Stairs (Carpet)|階段（じゅうたん）|Escalier (tapis)|violetter Teppich auf Stufen|Escaleras (Alfombra)
Stairs (Carpet)|階段（じゅうたん）|Escalier (tapis)|violetter Teppich auf Stufen|Escaleras (Alfombra)
Stairs (Carpet)|階段（じゅうたん）|Escalier (tapis)|violetter Teppich auf Stufen|Escaleras (Alfombra)
Wood Floor (Ruins)|木の床（廃墟）|Parquet (ruines)|kaputter Parkett|Suelo de Madera (Ruinas)
Wood Floor (Ruins)|木の床（廃墟）|Parquet (ruines)|kaputter Parkett|Suelo de Madera (Ruinas)
Wood Floor (Ruins)|木の床（廃墟）|Parquet (ruines)|kaputter Baumstamm-Boden|Suelo de Madera (Ruinas)
Wood Floor (Ruins)|木の床（廃墟）|Parquet (ruines)|kaputter Baumstamm-Boden|Suelo de Madera (Ruinas)
Cobblestones (Ruins)|石畳（廃墟）|Pavés (ruines)|kaputtes Kopfsteinpflaster|Suelo de Calle (Ruinas)
Cobblestones (Ruins)|石畳（廃墟）|Pavés (ruines)|kaputtes Kopfsteinpflaster|Suelo de Calle (Ruinas)
Cobblestones (Ruins)|石畳（廃墟）|Pavés (ruines)|kaputtes Kopfsteinpflaster|Suelo de Calle (Ruinas)
Cobblestones (Ruins)|石畳（廃墟）|Pavés (ruines)|kaputtes Kopfsteinpflaster|Suelo de Calle (Ruinas)
Cobblestones (Ruins)|石畳（廃墟）|Pavés (ruines)|kaputte Fliesen|Suelo de Calle (Ruinas)
Cobblestones (Ruins)|石畳（廃墟）|Pavés (ruines)|kaputte Fliesen|Suelo de Calle (Ruinas)
Cobblestones (Ruins)|石畳（廃墟）|Pavés (ruines)|kaputte Fliesen|Suelo de Calle (Ruinas)
Cobblestones (Ruins)|石畳（廃墟）|Pavés (ruines)|kaputte Fliesen|Suelo de Calle (Ruinas)
Cobblestones (Ruins)|石畳（廃墟）|Pavés (ruines)|kaputtes Kopfsteinpflaster|Suelo de Calle (Ruinas)
Cobblestones (Ruins)|石畳（廃墟）|Pavés (ruines)|kaputtes Kopfsteinpflaster|Suelo de Calle (Ruinas)
Cobblestones (Ruins)|石畳（廃墟）|Pavés (ruines)|kaputte Fliesen|Suelo de Calle (Ruinas)
Cobblestones (Ruins)|石畳（廃墟）|Pavés (ruines)|kaputte Fliesen|Suelo de Calle (Ruinas)
Interior Floor (Ruins)|内装床（廃墟）|Sol intérieur (ruines)|kaputter Strohboden|Suelo Interior (Ruinas)
Interior Floor (Ruins)|内装床（廃墟）|Sol intérieur (ruines)|kaputter Ziegelboden|Suelo Interior (Ruinas)
Interior Floor (Ruins)|内装床（廃墟）|Sol intérieur (ruines)|kaputter Marmorboden|Suelo Interior (Ruinas)
Interior Floor (Ruins)|内装床（廃墟）|Sol intérieur (ruines)|kaputter Musterboden|Suelo Interior (Ruinas)
Floor (Demon Castle, Ruins)|床（魔王城・廃墟）|Sol (château démoniaque, ruines)|kaputter Boden (Dämonenschloss)|Suelo (Castillo Demoníaco, Ruinas)
Floor (Concrete, Ruins)|床（コンクリート・廃墟）|Sol (béton, ruines)|kaputter Beton-Boden|Suelo (Cemento, Ruinas)
Floor (Tent, Ruins)|床（テント・廃墟）|Sol (tente, ruines)|kaputter Zeltboden|Suelo (Tienda de Campaña, Ruinas)
Floor (Dirt, Ruins)|床（土・廃墟）|Sol (terre, ruines)|kaputter Erd-Boden|Suelo (Tierra, Ruinas)
Relief Floor Tile|レリーフ床|Dalle en relief|Drachenrelief-Boden|Relieve
Relief Floor Tile|レリーフ床|Dalle en relief|Drachenrelief-Boden|Relieve
Relief Floor Tile|レリーフ床|Dalle en relief|Drachenrelief-Boden|Relieve
Relief Floor Tile|レリーフ床|Dalle en relief|Drachenrelief-Boden|Relieve
Relief Floor Tile|レリーフ床|Dalle en relief|Pfeile-Relief-Boden|Relieve
Relief Floor Tile|レリーフ床|Dalle en relief|Blumen-Relief-Boden|Relieve
Relief Floor Tile|レリーフ床|Dalle en relief|Muster-Relief-Boden|Relieve
Relief Floor Tile|レリーフ床|Dalle en relief|Relief-Boden|Relieve
Relief Floor Tile|レリーフ床|Dalle en relief|Drachenrelief-Boden|Relieve
Relief Floor Tile|レリーフ床|Dalle en relief|Drachenrelief-Boden|Relieve
Relief Floor Tile|レリーフ床|Dalle en relief|Drachenrelief-Boden|Relieve
Relief Floor Tile|レリーフ床|Dalle en relief|Drachenrelief-Boden|Relieve
Relief Floor Tile|レリーフ床|Dalle en relief|Muster-Relief-Boden|Relieve
Relief Floor Tile|レリーフ床|Dalle en relief|Relief-Boden|Relieve
Relief Floor Tile (Ruins)|レリーフ床（廃墟）|Dalle en relief (ruines)|kaputter Relief-Boden|Relieve (Ruinas)
Relief Floor Tile (Ruins)|レリーフ床（廃墟）|Dalle en relief (ruines)|kaputter Relief-Boden|Relieve (Ruinas)
