Transparent|透明|Transparent|Unsichtbar (erfordert Passierbarkeit = Stern, wenn in B-Slot)|Transparente
Stairs (Up)|階段（上り）|Escalier (montée)|Steintreppe (rechts hoch)|Escaleras (Arriba)
Stairs (Up)|階段（上り）| Escalier (montée)|Steintreppe (links hoch)|Escaleras (Arriba)
Stairs (Up)|階段（上り）| Escalier (montée)|Holztreppe (rechts hoch)|Escaleras (Arriba)
Stairs (Up)|階段（上り）| Escalier (montée)|Holztreppe (links hoch)|Escaleras (Arriba)
Metal Ladder|鉄ばしご|Échelle en métal|Metall-Leiter|Escalera de Metal
Rope Ladder|縄ばしご|Échelle de corde|Strickleiter|Escalera de Cuerda
Rope|ロープ|Corde|Seil|Cuerda
Hole|穴|Trou|Bodenschacht|Agujero
Stairs (Down)|階段（下り）|Escalier (descente)|Steintreppe (links herunter)|Escaleras (Abajo)
Stairs (Down)|階段（下り）|Escalier (descente)|Steintreppe (rechts herunter)|Escaleras (Abajo)
Stairs (Down)|階段（下り）|Escalier (descente)|Holztreppe (links unten)|Escaleras (Abajo)
Stairs (Down)|階段（下り）|Escalier (descente)|Holztreppe (rechts unten)|Escaleras (Abajo)
Metal Ladder|鉄ばしご|Échelle en métal|Metall-Leiter|Escalera de Metal
Rope Ladder|縄ばしご|Échelle de corde|Strickleiter|Escalera de Cuerda
Rope|ロープ|Corde|Seil|Cuerda
Window|窓|Fenêtre|Fenster|Ventana
Window|窓|Fenêtre|Fenster mit Gardine|Ventana
Window|窓|Fenêtre|verhangenes Fenster|Ventana
Window (Ruins)|窓（廃墟）|Fenêtre (ruines)|kaputtes Fenster|Ventana (Rota)
Window (Demon Castle)|窓（魔王城）|Fenêtre (château démoniaque)|Fenster (Dämonenschloss)|Ventana (Castillo Demoníaco)
Metal Ladder|鉄ばしご|Échelle en métal|Metall-Leiter|Escalera de Metal
Rope Ladder|縄ばしご|Échelle de corde|Strickleiter|Escalera de Cuerda
Rope|ロープ|Corde|Seil|Cuerda
Window|窓|Fenêtre|Fenster|Ventana
Window|窓|Fenêtre|Fenster mit Gardine|Ventana
Window|窓|Fenêtre|verhangenes Fenster|Ventana
Window (Ruins)|窓（廃墟）|Fenêtre (ruines)|kaputtes Fenster|Ventana (Rota)
Window (Demon Castle)|窓（魔王城）|Fenêtre (château démoniaque)|Fenster (Dämonenschloss)|Ventana (Castillo Demoníaco)
Hole (Metal Ladder)|穴（鉄ばしご）|Trou (échelle en métal)|Metalleiter (ins Loch)|Agujero (Escalera de Metal)
Hole (Rope Ladder)|穴（縄ばしご）|Trou (échelle de corde)|Strickleiter (ins Loch)|Agujero (Escalera de Cuerda)
Hole (Rope)|穴（ロープ）|Trou (corde)|Seil (ins Loch)|Agujero (Cuerda)
Window|窓|Fenêtre|Fenster|Ventana
Window|窓|Fenêtre|Fenster mit Gardine|Ventana
Window|窓|Fenêtre|verhangenes Fenster|Ventana
Stained Glass Window|ステンドグラス|Vitrail|Buntglasfenster|Vidriera
Window|窓|Fenêtre|Fenster|Ventana
Window|窓|Fenêtre|Fensterschacht|Ventana
Window|窓|Fenêtre|Gitterfenster|Ventana
Window|窓|Fenêtre|Fenster mit Holzüberdachung|Ventana
Window|窓|Fenêtre|Fenster|Ventana
Window|窓|Fenêtre|Fenster mit Gardine|Ventana
Window|窓|Fenêtre|verhangenes Fenster|Ventana
Stained Glass Window|ステンドグラス|Vitrail|Buntglasfenster|Vidriera
Window|窓|Fenêtre|Fenster|Ventana
Window|窓|Fenêtre|Fensterschacht|Ventana
Window|窓|Fenêtre|Gitterfenster|Ventana
Window|窓|Fenêtre|Fenster mit Holzüberdachung|Ventana
Chest|チェスト|Coffre|Schubladenschrank|Armario
Cabinet|キャビネット|Cabinet|Schrank|Armario
Closet|クローゼット|Placard|Kleiderschrank|Armario
Chest of Drawers|タンス|Commode|Kommode|Cajones
Dish Cabinet|食器棚|Vaisselier|Geschirrschrank|Estantería de Platos
Wine Rack|ワインセラー|Cellier à vin|Weinregal|Estantería de Vinos
Bottle Shelf|ボトル棚|Étagère de bouteilles|Getränkeregal|Estantería de Botellas
Bottle Shelf|ボトル棚|Étagère de bouteilles|Getränkeregal|Estantería de Botellas
Chest|チェスト|Coffre|Schubladenschrank|Armario
Chest|チェスト|Coffre|Schubladenschrank|Armario
Closet|クローゼット|Placard|Kleiderschrank|Armario
Chest of Drawers|タンス|Commode|Kommode|Cajones
Dish Cabinet|食器棚|Vaisselier|Geschirrschrank|Estantería de Platos
Wine Rack|ワインセラー|Cellier à vin|Weinregal|Estantería de Vinos
Bottle Shelf|ボトル棚|Étagère de bouteilles|Getränkeregal|Estantería de Botellas
Bottle Shelf|ボトル棚|Étagère de bouteilles|Getränkeregal|Estantería de Botellas
Bread Shelf|パン棚|Étagère de pain|Brotschrank|Estantería de Panes
Sundries Shelf|雑貨棚|Étagère d'objets|Schrank für Diverses|Estantería de Objetos
Sundries Shelf|雑貨棚|Étagère d'objets|Schrank für Diverses|Estantería de Objetos
Sundries Shelf|雑貨棚|Étagère d'objets|Schrank für Diverses|Estantería de Objetos
Medicine Shelf|薬品棚|Étagère de médicaments|Medizinschrank|Estantería de Medicinas
Bookshelf|本棚|Bibliothèque|Bücherregal|Estantería de Libros
Bookshelf|本棚|Bibliothèque|großes Bücherregal|Estantería de Libros
Bookshelf|本棚|Bibliothèque|großes Bücherregal|Estantería de Libros
Bread Shelf|パン棚|Étagère de pain|Brotschrank|Estantería de Panes
Sundries Shelf|雑貨棚|Étagère d'objets|Lagerregal|Estantería de Objetos
Sundries Shelf|雑貨棚|Étagère d'objets|Lagerregal|Estantería de Objetos
Sundries Shelf|雑貨棚|Étagère d'objets|Lagerregal|Estantería de Objetos
Medicine Shelf|薬品棚|Étagère de médicaments|Medizinschrank|Estantería de Medicinas
Bookshelf|本棚|Bibliothèque|Bücherregal|Estantería de Libros
Bookshelf|本棚|Bibliothèque|großes Bücherregal|Estantería de Libros
Bookshelf|本棚|Bibliothèque|großes Bücherregal|Estantería de Libros
Bed|ベッド|Lit|Bett|Cama
Large Bed|ダブルベッド|Grand lit|Ehebett|Cama Grande
Large Bed|ダブルベッド|Grand lit|Ehebett|Cama Grande
Pipe Frame Bed|パイプベッド|Lit en métal|Bett mit Metallrahmen|Cama
Cheap Bed|粗末なベッド|Lit de fortune|Holzbett|Cama Barata
Straw Bed|むしろの寝床|Lit de paille|Bett (Strohmatte)|Cama
Bed (Ruins)|ベッド（廃墟）|Lit (ruines)|kaputtes Bett|Cama (Rota)
Tipped Shelf|倒れた棚|Étagère renversée|umgekippter Schrank|Armario Caído
Bed|ベッド|Lit|Bett|Cama
Large Bed|ダブルベッド|Grand lit|Ehebett|Cama Grande
Large Bed|ダブルベッド|Grand lit|Ehebett|Cama Grande
Pipe Frame Bed|パイプベッド|Lit en métal|Bett mit Metallrahmen|Cama
Cheap Bed|粗末なベッド|Lit de fortune|Holzbett|Cama Barata
Straw Bed|むしろの寝床|Lit de paille|Bett (Strohmatte)|Cama
Bed (Ruins)|ベッド（廃墟）|Lit (ruines)|kaputtes Bett|Cama (Rota)
Tipped Shelf|倒れた棚|Étagère renversée|umgekippter Schrank|Armario Caído
Table|テーブル|Table|Holztisch|Mesa
Table|テーブル|Table|Steintisch|Mesa
Table|テーブル|Table|Tisch mit Tischdecke|Mesa
Fortuneteller's Table|占い台|Table de diseur de bonne aventure|Wahrsager-Tisch|Mesa de Advino
Mini Table|ミニテーブル|Petite table|kleiner Tisch|Mini Mesa
Piano|ピアノ|Piano|Piano|Piano
Piano|ピアノ|Piano|Piano|Piano
Piano|ピアノ|Piano|Piano|Piano
Stool|椅子|Tabouret|runder Hocker|Taburete
Stool|椅子|Tabouret|Polsterhocker|Taburete
