Cup & Teapot (Bottom)|カップとポット（下）|Tasse et théière (bas)|Teetasse und Kanne (unten)|Taza y Tetera (Abajo)
Cup & Teapot (Top)|カップとポット（上）|Tasse et théière (haut)|Teetasse und Kanne (oben)|Taza y Tetera (Arriba)
Cup & Teapot (Left)|カップとポット（左）|Tasse et théière (gauche)|Teetasse und Kanne (links)|Taza y Tetera (Izquierda)
Cup & Teapot (Right)|カップとポット（右）|Tasse et théière (droite)|Teetasse und Kanne (rechts)|Taza y Tetera (Derecha)
Cup (Bottom)|カップ（下）|Tasse (bas)|Tasse (unten)|Taza (Abajo)
Cup (Top)|カップ（上）|Tasse (haut)|Tasse (oben)|Taza (Arriba)
Cup (Left)|カップ（左）|Tasse (gauche)|Tasse (links)|Taza (Izquierda)
Cup (Right)|カップ（右）|Tasse (droite)|Tasse (rechts)|Taza (Derecha)
Glass & Bottle (Bottom)|グラスとボトル（下）|Verre et bouteille (bas)|Glas und Weinflasche (unten)|Vaso y Botella (Abajo)
Glass & Bottle (Top)|グラスとボトル（上）|Verre et bouteille (haut)|Glas und Weinflasche (oben)|Vaso y Botella (Arriba)
Glass & Bottle (Left)|グラスとボトル（左）|Verre et bouteille (gauche)|Glas und Weinflasche (links)|Vaso y Botella (Izquierda)
Glass & Bottle (Right)|グラスとボトル（右）|Verre et bouteille (droite)|Glas und Weinflasche (rechts)|Vaso y Botella (Derecha)
Glass (Bottom)|グラス（下）|Verre (bas)|Glas (unten)|Vaso (Abajo)
Glass (Top)|グラス（上）|Verre (haut)|Glas (oben)|Vaso (Arriba)
Glass (Left)|グラス（左）|Verre (gauche)|Glas (links)|Vaso (Izquierda)
Glass (Right)|グラス（右）|Verre (droite)|Glas (rechts)|Vaso Derecha)
Pint Mug & Ale Bottle (Bottom)|ジョッキと瓶（下）|Pinte et bouteille de bière (bas)|Bierglas und Flasche (unten)|Jarra y Cerveza (Abajo)
Pint Mug & Ale Bottles (Top)|ジョッキと瓶（上）|Pinte et bouteille de bière (haut)|Bierglas und Flasche (oben)|Jarra y Cerveza (Arriba)
Pint Mug & Ale Bottles (Left)|ジョッキと瓶（左）|Pinte et bouteille de bière (gauche)|Bierglas und Flasche (links)|Jarra y Cerveza (Izquierda)
Pint Mug & Ale Bottle (Right)|ジョッキと瓶（右）|Pinte et bouteille de bière (droite)|Bierglas und Flasche (rechts)|Jarra y Cerveza (Derecha)
Pint Mug (Bottom)|ジョッキ（下）|Pinte (bas)|Bierglas (unten)|Jarra (Abajo)
Pint Mug (Top)|ジョッキ（上）|Pinte (haut)|Bierglas (oben)|Jarra (Arriba)
Pint Mug (Left)|ジョッキ（左）|Pinte (gauche)|Bierglas (links)|Jarra (Izquierda)
Pint Mug (Right)|ジョッキ（右）|Pinte (droite)|Bierglas (rechts)|Jarra (Derecha)
Teapot|ポット|Théière|Teekanne|Tetera
Bottle|ボトル|Bouteille|Weinflasche|Botella
Bottles|ボトル|Bouteilles|2 Weinflaschen|Botellas
Bottles|ボトル|Bouteilles|3 Weinflaschen|Botellas
Broken Bottle|割れたボトル|Bouteille cassée|zerbrochene Weinflasche|Botella Rota
Ale Bottle|瓶|Bouteille de bière|Bierflasche|Cerveza
Ale Bottles|瓶|Bouteilles de bière|2 Bierflaschen|Cervezas
Ale Bottles|瓶|Bouteilles de bière|3 Bierflaschen|Cervezas
Meal (Fish)|魚料理|Plat (poisson)|Mahlzeit (Fisch)|Comida (Pescado)
Meal (Meat)|肉料理|Plat (viande)|Mahlzeit (Geflügel)|Comida (Carne)
Side Dishes|副菜|Accompagnements|Beilagenteller|Guarniciones
Fruit Bowl|フルーツ盛り合わせ|Saladier de fruits|Obstschüssel|Frutero
Roast Pig|丸焼き|Cochon grillé|Schweinebraten|Cochinillo Asado
Cake|ケーキ|Gateau|Torte|Pastel
Pizza|ピザ|Pizza|Pizza|Pizza
Meal (Fish)|魚料理|Plat (poisson)|Mahlzeit (Fisch)|Comida (Pescado)
Dinner Set (Bottom)|夕食セット（下）|Dîner (bas)|Gedeck (unten)|Comida (Abajo)
Dinner Set (Top)|夕食セット（上）|Dîner (haut)|Gedeck (oben)|Comida (Arriba)
Dinner Set (Left)|夕食セット（左）|Dîner (gauche)|Gedeck (links)|Comida (Izquierda)
Dinner Set (Right)|夕食セット（右）|Dîner (droite)|Gedeck (rechts)|Comida (Derecha)
