Water (Meadow)|水場（草地）|Eau (prairie)|Wasser (in Wiese)|Agua
Deep Water|深い水場|Eau profonde|Tiefes Wasser|Agua Profunda
Lotus Pads|蓮の葉|Nénuphars|Seerosenblätter|Flores de Loto
Swamp Grass|水草|Plantes de marais|Sumpfgras|Hierba de Pantano
Water (Snow)|水場（雪）|Eau (neige)|Wasser (in Schnee)|Agua (Nieve)
Waterfall (Stone Wall)|滝（石壁）|Cascade (mur en pierre)|Wasserfall (Steinwand)|Cascada (Pared de Piedra)
Canal|水路|Canal|Kanal|Canal
Waterfall (Stone Wall)|滝（石壁）|Cascade (mur en pierre)|Wasserfall (Steinwand)|Cascada (Pared de Piedra)
Water (Dirt)|水場（土）|Eau (terre)|Wasser (in Erde)|Agua (Tierra)
Waterfall (Cliff)|滝（崖）|Cascade (falaise)|Wasserfall (Klippe)|Cascada (Acantilado)
Water (Sand)|水場（砂）|Eau (sable)|Wasser (im Sand)|Agua (Arena)
Boulder in Waterfall|滝の岩|Rocher de cascade|Fels im Wasserfall|Roca en Cascada
Water (Port)|水場（港）|Eau (port)|Wasser (Hafenbecken)|Agua (Puerto)
Waterfall (Stone Wall)|滝（石壁）|Cascade (Mur en pierre)|Wasserfall (Steinwand)|Cascada (Pared de Piedra)
Poison Swamp|毒の沼|Marais empoisonné|Giftsumpf (in Erde)|Pantano Venenoso
Dead Tree|枯れ木|Arbre mort|toter Baum (im Giftsumpf)|Árbol Muerto
