Meadow|草地|Prairie|Wiese|Prado
Dirt (Meadow)|土（草地）|Terre (prairie)|Erde (in Wiese)|Tierra (Prado)
Road (Meadow)|道（草地）|Route (prairie)|Straße (in Wiese)|Camino (Prado)
Cobblestones|石畳|Pavés|Kopfsteinpflaster|Calle
Bush|茂み|Buisson|hohes Gras|Hierba Alta
Road Edging|縁石|Bords de route|Straßenrand|Bordes de Camino
Fencepost|柵|Barrière|Holzzaun|Valla
Fissures|ひび割れ|Fissures|Risse|Fisuras
Dirt|土|Terre|Erde|Tierra
Grass (Dirt)|草地（土）|Herbe (terre)|Wiese (in Erde)|Hierba (Tierra)
Road (Dirt)|道（土）|Route (terre)|Straße (in Erde)|Camino (Tierra)
Cobblestones (Snow)|石畳（雪）|Pavés (neige)|Kopfsteinpflaster (verschneit)|Calle (Nieve)
Bush (Dead)|茂み（枯れ草）|Buisson (mort)|trockenes, hohe Gras|Hierba Alta (Muerta)
Road Edging (Snow)|縁石（雪）|Bords de route (neige)|Straßenrand (verschneit)|Bordes de Camino (Nieve)
Fencepost|柵|Barrière|Steinzaun|Valla
Soil|汚れ|Terre|Dreck|Mancha
Sand|砂地|Sable|Sand|Arena
Grass (Sand)|草地（砂地）|Herbe (sable)|Wiese (in Sand)|Hierba (Arena)
Road (Sand)|道（砂地）|Route (sable)|Straße (in Sand)|Camino (Arena)
Cobblestones|石畳|Pavés|Kopfsteinpflaster|Calle
Bush (Sand)|茂み（砂地）|Buisson (sable)|Gras ( Sand)|Hierba Alta (Arena)
Hole|穴|Trou|Bodenloch|Agujero
Fencepost|柵|Barrière|massiver Zaun|Valla
Moss|苔|Mousse|Moos|Musgo
Snow|雪|Neige|Schnee|Nieve
Dirt (Snow)|土（雪）|Terre (neige)|Erde (im Schnee)|Tierra (Nieve)
Road (Snow)|道（雪）|Route (neige)|Straße (im Schnee)|Camino (Nieve)
Carpet|カーペット|Tapis|Teppich|Alfombra
Bush (Snow)|茂み（雪）|Buisson (neige)|hohes Gras (verschneit)|Hierba Alta (Nieve)
Hole|穴|Trou|Bodenschacht|Agujero
Fencepost (Snow)|柵（雪）|Barrière (neige)|Holzzaun (verschneit)|Valla (Nieve)
Poison Swamp|毒の沼|Marais empoisonné|Giftsumpf|Pantano Venenoso
