Darkness|暗闇|Obscurité|Dunkelheit|Oscuridad
Wire Mesh|金網|Grillage|Gitterboden|Rejilla
Large Bridge (V)|大きな橋（縦）|Grand pont (V)|große Holzbrücke (V)|Puente (V)
Large Bridge (V)|大きな橋（縦）|Grand pont (V)|große Holzbrücke (V)|Puente (V)
Large Bridge (V)|大きな橋（縦）|Grand pont (V)|große Holzbrücke (V)|Puente (V)
Large Bridge (H)|大きな橋（横）|Grand pont (H)|große Holzbrücke (H)|Puente (H)
Large Bridge (H)|大きな橋（横）|Grand pont (H)|große Holzbrücke (H)|Puente (H)
Large Bridge (Snow, H)|大きな橋（雪・横）|Grand pont (neige, H)|große Holzbrücke (verschneit, H)|Puente (Nieve, H)
Transparent|透明|Transparent|Unsichtbar|Transparente
Wire Mesh|金網|Grillage|Absatz Gitterboden|Rejilla
Large Bridge (Snow, V)|大きな橋（雪・縦）|Grand pont (neige, V)|große Holzbrücke (verschneit, V)|Puente (V)
Large Bridge (Snow, V)|大きな橋（雪・縦）|Grand pont (neige, V)|große Holzbrücke (verschneit, V)|Puente (V)
Large Bridge (Snow, V)|大きな橋（雪・縦）|Grand pont (neige, V)|große Holzbrücke (verschneit, V)|Puente (V)
Large Bridge (H)|大きな橋（横）|Grand pont (H)|große Holzbrücke (H)|Puente (H)
Large Bridge (Snow,H)|大きな橋（雪・横）|Grand pont (neige, H)|große Holzbrücke (verschneit, H)|Puente (Nieve, H)
Large Bridge (Snow,H)|大きな橋（雪・横）|Grand pont (neige, H)|große Holzbrücke (verschneit, H)|Puente (Nieve, H)
Meadow|草地|Prairie|Wiese|Prado
Dirt|土|Terre|Erde|Tierra
Desert|砂地|Désert|Sand|Desierto
Snow|雪|Neige|Schnee|Nieve
Meadow|草地|Prairie|Wiese (Variation)|Prado
Dirt|土|Terre|Erde (Variation)|Tierra
Desert|砂地|Désert|Sand (Variation)|Desierto
Snow|雪|Neige|Schnee (Variation)|Nieve
Stairs (Meadow)|階段（草地）|Escalier (prairie)|Treppenstufen (Wiese)|Escaleras (Prado)
Stairs (Meadow)|階段（草地）|Escalier (prairie)|Treppenstufen (Wiese)|Escaleras (Prado)
Stairs (Meadow)|階段（草地）|Escalier (prairie)|Treppenstufen (Wiese)|Escaleras (Prado)
Stairs (Meadow)|階段（草地）|Escalier (prairie)|Treppenstufen (Wiese)|Escaleras (Prado)
Stairs (Dirt)|階段（土）|Escalier (terre)|Treppenstufen (Erde)|Escaleras (Tierra)
Stairs (Dirt)|階段（土）|Escalier (terre)|Treppenstufen (Erde)|Escaleras (Tierra)
Stairs (Dirt)|階段（土）|Escalier (terre)|Treppenstufen (Erde)|Escaleras (Tierra)
Stairs (Dirt)|階段（土）|Escalier (terre)|Treppenstufen (Erde)|Escaleras (Tierra)
Cobblestones|石畳|Pavés|eckiges Kopfsteinpflaster|Suelo de Calle
Cobblestones|石畳|Pavés|Sandsteinpflaster|Suelo de Calle
Cobblestones|石畳|Pavés|graues Kopfsteinpflaster|Suelo de Calle
Cobblestones|石畳|Pavés|Steinmusterboden|Suelo de Calle
Cobblestones (Ruins)|石畳（廃墟）|Pavés (ruines)|kaputtes Kopfsteinpflaster|Suelo de Calle (Ruinas)
Cobblestones (Ruins)|石畳（廃墟）|Pavés (ruines)|kaputte Kopfsteinpflaster|Suelo de Calle (Ruinas)
Cobblestones (Ruins)|石畳（廃墟）|Pavés (ruines)|kaputtes graues Kopfsteinpflaster|Suelo de Calle (Ruinas)
Cobblestones (Ruins)|石畳（廃墟）|Pavés (ruines)|kaputter Steinmusterboden|Suelo de Calle (Ruinas)
Stairs (Desert)|階段（砂地）|Escalier (désert)|Treppenstufe (Sand)|Escaleras (Desierto)
Stairs (Desert)|階段（砂地）|Escalier (désert)|Treppenstufe (Sand)|Escaleras (Desierto)
Stairs (Desert)|階段（砂地）|Escalier (désert)|Treppenstufe (Sand)|Escaleras (Desierto)
Stairs (Desert)|階段（砂地）|Escalier (désert)|Treppenstufe (Sand)|Escaleras (Desierto)
Stairs (Snow)|階段（雪）|Escalier (neige)|Treppenstufe (Schnee)|Escaleras (Nieve)
Stairs (Snow)|階段（雪）|Escalier (neige)|Treppenstufe (Schnee)|Escaleras (Nieve)
Stairs (Snow)|階段（雪）|Escalier (neige)|Treppenstufe (Schnee)|Escaleras (Nieve)
Stairs (Snow)|階段（雪）|Escalier (neige)|Treppenstufe (Schnee)|Escaleras (Nieve)
Cobblestones|石畳|Pavés|Kopfsteinpflaster|Suelo de Calle
Cobblestones|石畳|Pavés|rotes Kopfsteinpflaster|Suelo de Calle
Cobblestones|石畳|Pavés|eckiges Steinpflaster|Suelo de Calle
Ice Floor|氷の床|Sol gelé|Eisboden|Suelo Helado
Cobblestones (Ruins)|石畳（廃墟）|Pavés (ruines)|kaputte Kopfsteinpflaster|Suelo de Calle (Ruinas)
Cobblestones (Ruins)|石畳（廃墟）|Pavés (ruines)|kaputtes rotes Kopfsteinpflaster|Suelo de Calle (Ruinas)
Cobblestones (Ruins)|石畳（廃墟）|Pavés (ruines)|kaputtes Steinpflaster|Suelo de Calle (Ruinas)
Ice Floor|氷の床|Sol gelé|Eisboden (Variation)|Suelo Helado
Stairs (Paved)|階段（舗装）|Escalier (pavé)|Treppenstufen (Stein)|Escaleras (Pavimento)
Stairs (Paved)|階段（舗装）|Escalier (pavé)|Treppenstufen (Stein)|Escaleras (Pavimento)
Stairs (Paved)|階段（舗装）|Escalier (pavé)|Treppenstufen (Stein)|Escaleras (Pavimento)
Stairs (Paved)|階段（舗装）|Escalier (pavé)|Treppenstufen (Stein)|Escaleras (Pavimento)
Stairs (Ruins)|階段（廃墟）|Escalier (pavé)|Kaputte Treppenstufen (Stein)|Escaleras (Ruinas)
Stairs (Ruins)|階段（廃墟）|Escalier (pavé)|Kaputte Treppenstufen (Stein)|Escaleras (Ruinas)
