Transparent|透明|Transparent|Unsichtbar (erfordert Passierbarkeit = Stern, wenn in B-Slot)|Transparente
Shop Sign (Sword)|看板（剣）|Enseigne (épée)|Geschäft Schild (Schwert)|Letrero de Tienda (Espada)
Shop Sign (Sword & Shield)|看板（剣と盾）|Enseigne (épée et bouclier)|Geschäft Schild (Schwert & Schild)|Letrero de Tienda (Espada y Escudo)
Shop Sign (Armor)|看板（鎧）|Enseigne (armure)|Geschäft Schild (Rüstung)|Letrero de Tiempo (Armadura)
Shop Sign (Sack)|看板（袋）|Enseigne (sac)|Geschäft Schild (Beutel)|Letrero de Tienda (Bolsa)
Shop Sign (Teapot)|看板（ポット）|Enseigne (théière)|Geschäft Schild (Teekanne)|Letrero de Tienda (Tetera)
Shop Sign (Inn)|看板（宿）|Enseigne (auberge)|Geschäft Schild (Gasthaus)|Letrero de Tienda (Posada)
Shop Sign (Pub)|看板（酒場）|Enseigne (bar)|Geschäft Schild (Taverne)|Letrero de Tienda (Taberna)
Shop Sign (Eatery)|看板（食堂）|Enseigne (cantine)|Geschäft Schild (Kantine)|Letrero de Tienda (Restaurante)
Shop Sign (Hexagram)|看板（魔法陣）|Enseigne (héxagramme)|Geschäft Schild (Hexagramm)|Letrero de Tienda (Hexagrama)
Shop Sign (Staves)|看板（杖）|Enseigne (batons)|Geschäft Schild (Stäbe)|Letrero de Tienda (Bastones)
Shop Sign (Coin)|看板（コイン）|Enseigne (pièce)|Geschäft Schild (Münze)|Letrero de Tienda (Moneda)
Shop Sign (Shoes)|看板（靴）|Enseigne (chaussure)|Geschäft Schild (Stiefel)|Letrero de Tienda (Zapatos)
Shop Sign (Ring)|看板（指輪）|Enseigne (anneau)|Geschäft Schild (Ring)|Letrero de Tienda (Anillo)
Shop Sign (Hammer)|看板（ハンマー）|Enseigne (marteau)|Geschäft Schild (Hammer)|Letrero de Tienda (Martillo)
Shop Sign (Crest)|看板（紋章）|Enseigne (cimier)|Geschäft Schild (Wappen)|Letrero de Tienda (Símbolo)
Log Bridge (V)|丸太の橋（縦）|Pont en rondins (V)|Baumstammbrücke (V)|Puente de Troncos (H)
Log Bridge (H)|丸太の橋（横）|Pont en rondins (H)|Baumstammbrücke (H)|Puente de Troncos (V)
Wood Bridge (V)|木の橋（縦）|Pont en bois (V)|Holzbrücke (V)|Puente de Madera (H)
Wood Bridge (H)|木の橋（横）|Pont en bois (H)|Holzbrücke (H)|Puente de Madera (V)
Stone Bridge (V)|石の橋（縦）|Pont en pierre (V)|Steinbrücke (V)|Puente de Piedra (V)
Stone Bridge (H)|石の橋（横）|Pont en pierre (H)|Steinbrücke (H)|Puente de Piedra (H)
Wood Bridge (V)|木の橋（縦）|Pont en bois (V)|Holzbrücke (H)|Puente de Madera (H)
Wood Bridge (H)|木の橋（横）|Pont en bois (H)|Holzbrücke (H)|Puente de Madera (V)
Bridge Spar (Wood)|橋げた（木）|Poutre de pont (bois)|Brückenträger (Holz)|Viga de puente (Madera)
Bridge Spar (Wood)|橋げた（木）|Poutre de pont (bois)|Brückenträger (Holz)|Viga de puente (Madera)
Bridge Spar (Wood)|橋げた（木）|Poutre de pont (bois)|Brückenträger (Holz)|Viga de puente (Madera)
Bridge Spar (Wood)|橋げた（木）|Poutre de pont (bois)|Brückenträger (Holz)|Viga de puente (Madera)
Bridge Spar (Stone)|橋げた（石）|Poutre de pont (pierre)|Brückenträger (Stein)|Viga de puente (Piedra)
Bridge Spar (Stone)|橋げた（石）|Poutre de pont (pierre)|Brückenträger (Stein)|Viga de puente (Piedra)
Bridge Spar (Stone)|橋げた（石）|Poutre de pont (pierre)|Brückenträger (Stein)|Viga de puente (Piedra)
Bridge Spar (Stone)|橋げた（石）|Poutre de pont (pierre)|Brückenträger (Stein)|Viga de puente (Piedra)
Window|窓|Fenêtre|Fenster|Ventana
Window|窓|Fenêtre|Fenster mit Pflanzen|Ventana
Window|窓|Fenêtre|Fenster mit Blumen|Ventana
Window|窓|Fenêtre|geschlossenes Fenster|Ventana
Window|窓|Fenêtre|Fenster|Ventana
Window|窓|Fenêtre|Fenster mit Pflanzen|Ventana
Window|窓|Fenêtre|geschlossenes Fenster|Ventana
Window|窓|Fenêtre|Fenster mit Gardine|Ventana
Window|窓|Fenêtre|Fensterschacht|Ventana
Window|窓|Fenêtre|Gitterfenster|Ventana
Window|窓|Fenêtre|Fenster mit Holzüberdachung|Ventana
Stained Glass Window|ステンドグラス|Vitrail|Buntglasfenster|Vidriera
Window|窓|Fenêtre|Fenster|Ventana
Window|窓|Fenêtre|Fenster mit Blumen|Ventana
Window|窓|Fenêtre|geschlossenes Fenster|Ventana
Window|窓|Fenêtre|Fenster mit Gardine|Ventana
Window|窓|Fenêtre|Fenster|Ventana
Window|窓|Fenêtre|Fenster mit Pflanzen|Ventana
Window|窓|Fenêtre|geschlossenes Fenster|Ventana
Stained Glass Window|ステンドグラス|Vitrail|Buntglasfenster|Vidriera
Window|窓|Fenêtre|offenes Fenster|Ventana
Window|窓|Fenêtre|Fenster|Ventana
Window|窓|Fenêtre|Gitterfenster|Ventana
Window|窓|Fenêtre|Fenster mit Holzüberdachung|Vidriera
Window|窓|Fenêtre|Fenster|Ventana
Window|窓|Fenêtre|Fenster mit Blumen|Ventana
Window|窓|Fenêtre|geschlossenes Fenster|Ventana
Stained Glass Window|ステンドグラス|Vitrail|Buntglasfenster|Vidriera
Window|窓|Fenêtre|offenes Fenster|Vidriera
Window|窓|Fenêtre|Fenster|Ventana
Window|窓|Fenêtre|Gitterfenster|Vidriera
Window|窓|Fenêtre|Fenster mit Holzüberdachung|Ventana
Chimney|煙突|Cheminée|Schornstein|Chimenea
Mooring Bollard|ビット|Bitte d'amarrage|Hafenpoller|Amarre
Mooring Bollard|ビット|Bitte d'amarrage|Hafenpoller mit Seil|Amarre
Entrance|入口|Entrée|Eingang|Entrada
Entrance|入口|Entrée|Eingang|Entrada
Entrance (Top Half)|入口（上半分）|Entrée (moitié supérieure)|Eingang (obere Hälfte)|Entrada (Mitad Superior)
Entrance|入口|Entrée|Eingang|Entrada
Entrance (Top Half)|入口（上半分）|Entrée (moitié supérieure)|Eingang (obere Hälfte)|Entrada (Mitad Superior)
Chimney|煙突|Cheminée|Schornstein|Chimenea
Sign|立て札|Pancarte|Wegweiser|Cartel
Sign|立て札|Pancarte|Holzschild|Cartel
Well|井戸|Puit|Brunnen|Pozo
Stepping Stones|踏み石|Dalles de pierre|Trittsteine|Camino de Piedras
Barrel|樽|Tonneau|Fass|Barril
Grave|墓|Tombe|Grab|Tumba
Grave|墓|Tombe|Grabstein|Tumba
Vase|壺|Vase|Vase|Jarrón
Basin|桶|Bassine|Kübel|Cubo
Basin|桶|Bassine|Kübel mit Wasser|Cubo
Rock Fire Pit|石のかまど|Four en pierre|leere Feuerstelle|Hoguera
Rock Fire Pit|石のかまど|Four en pierre|Feuerstelle|Hoguera
Barricade (H)|バリケード（横）|Barricade (H)|Barriere (H)|Barricada (H)
Barricade (V)|バリケード（縦）|Barricade (V)|Barriere (V)|Barricada (V)
Beanstalk|豆の木|Branche de haricot|Bohnenstange|Planta
Grass|草|Herbe|Gras|Hierba
Grass|草|Herbe|Grasbüschel|Hierba
Grass|草|Herbe|Grasfleck|Hierba
