English,Français,Deutsch,Español,Italiano,Svenska,Nederlands
English,,,,,,
Français,,,,,,
Deutsch,,,,,,
Español,,,,,,
Italiano,,,,,,
Svenska,,,,,,
Nederlands,,,,,,
,,,,,,
{,,,,,,
,,,,,,
Play Game,Nouvelle partie,Spielen,Jugar,Nuova partita,Spela,Spel Spelen
Settings,Préférences,Einstellungen,Preferencias,Impostazioni,Inställningar,Instellingen
Info,Infos,Info,Info,Info,Information,Info
Quit,Quitter,Beenden,Salir,Esci,Avsluta,Afsluiten
,,,,,,
Adventure,Aventure,Adventure,Aventura,Avventura,Äventyr,Avontuur
Nano vs. Nano,Nano contre Nano,Nano vs. Nano,Nano contra Nano,Nano vs. Nano,Nano vs. Nano,Nano tegen Nano
Saved Games,Parties enregistrées,Spiel fortsetzen,Continuar partida guardada,Partite salvate,Ladda sparat spel,Opgeslagen spelen
,,,,,,
Story,L'Univers <en anglais>,Geschichte <auf Englisch>,Historia <en inglés>,Storia <in inglese>,Bakgrundshistoria <på engelska>,Geschiedenis <Engels>
Story <subtitled>,L'Univers <sous-titré>,Geschichte <mit Untertiteln>,Historia <con subtítulos>,Storia <con sottotitoli>,Bakgrundshistoria <med undertext>,Geschiedenis <met ondertitels>
Credits,Crédits,Credits,Créditos,Crediti,Vi Som Gör Nanosaur,Credits
Pangea Web Site,Site Web Pangea,Pangea-Webseite,Pagina Web de Pangea,Sito web di Pangea,Pangeas hemsida,Pangea-Website
,,,,,,
Race <Swamp>,Course <Marécage>,Rennen <Sumpf>,Carrera 1,Corsa <Palude>,Tävling <Träsket>,Race 1
Race <Desert>,Course <Désert>,Rennen <Wüste>,Carrera 2,Corsa <Deserto>,Tävling <Öknen>,Race 2
Battle <Forest>,Bataille <Forêt>,Kampf <Wald>,Batalla 1,Battaglia <Foresta>,Tvekamp <Skogen>,Strijd 1
Battle <Desert>,Bataille <Désert>,Kampf <Wüste>,Batalla 2,Battaglia <Deserto>,Tvekamp <Öknen>,Strijd 2
Capture the Eggs <Swamp>,Prise des Œufs <Marécage>,Eier erobern <Sumpf>,Capturar los huevos 1,Cattura le uova <Palude>,Fånga Äggen <Träsket>,De Eieren bemachtigen 1
Capture the Eggs <Forest>,Prise des Œufs <Forêt>,Eier erobern <Wald>,Capturar los huevos 2,Cattura le uova <Foresta>,Fånga Äggen <Skogen>,De Eieren bemachtigen 2
,,,,,,
Resume,Retour au jeu,Fortfahren,Continuar,Riprendi,Återuppta,Doorgaan
End Game,Abandonner,Mission beenden,Retirarse,Abbandona,Ge upp,Einde
,,,,,,
Press any key,Appuie sur une touche,Taste drücken,Pulsa cualquier tecla,Premi un tasto,Tryck på valfri knapp,Druk op een knop
Press SPACE,Appuie sur ESPACE,Drücke LEERTASTE,Pulsa ESPACIO,Premi SPAZIO,Tryck MELLANSLAG,Druk op SPATIEBALK
Press START,Appuie sur START,Drücke START,Pulsa START,Premi START,Tryck START,Druk op START
Press SPACE to continue,Appuie sur ESPACE pour continuer,Drücke LEERTASTE um fortzufahren,Pulsa ESPACIO para continuar,Premi SPAZIO per continuare,Tryck MELLANSLAG för att fortsätta,Druk op SPATIEBALK om door te gaan
Press START to continue,Appuie sur START pour continuer,Drücke START um fortzufahren,Pulsa START para continuar,Premi START per continuare,Tryck START för att fortsätta,Druk op START om door te gaan
Press ESC to go back,Appuie sur ÉCHAP pour revenir en arrière,,,Premi ESC per tornare indietro,,
,,,,,,
Save Game,Enregistrer la partie,Spiel speichern,Guardar el juego,Salva la partita,Spara spelet,Spel opslaan
Continue Without Saving,Continuer sans enregistrer,Fortfahren ohne zu speichern,Continuar sin guardar,Continua senza salvare,Fortsätta utan att spara,Doorgaan zonder op te slaan
Entering level 2. Save where?,Bienvenue au niveau 2. Enregistrer où?,Level 2 erreicht. Wo willst du speichern?,Entrando en level 2. ¿Dónde guardar?,Accesso al livello 2. Dove salvare?,,
Entering level 3. Save where?,Bienvenue au niveau 3. Enregistrer où?,Level 3 erreicht. Wo willst du speichern?,Entrando en level 3. ¿Dónde guardar?,Accesso al livello 3. Dove salvare?,,
,,,,,,
File,Fichier,Datei,Archivo,File,Fil,Bestand
