100011111111111111111111111111111111111111111111111111111111111111111100000000000000:100011111111100000001111111100000110000000011111000000000000002222200100000000000000:100011111111100000000001110000000010000000011110000000000000002222200100000000000000:100011111111100000000000110000000010000000001110010444010000000000100100000000000000:100011111111122220000000110000000010000000000010022222211110000000100100000000000000:100011111111122222000000110000000010000000000010002222211110000000100100000000000000:100011111111122222200000110000000010000000000011000022221110000000100100000000000000:100011111111122222200000110000000113333333311001100022222214400000100100000000000000:100011110000022111100000110000000110000000011001110022200001140000100100000000000000:100000010000022111100000110000000220000000001000110022000000114000100100000000000000:100000000000022111100000110000000220000000001100113311000000111444140100000000000000:100000000000022000000000110000000222222110001100011011000000111111140100000000000000:110000000000022000000000111000000222221110000100011111022200111111140100000000000000:110000000100022000000000111100000111111110000100011111000000111100000100000000000000:111111111100022000000000111111111100000000000100000011000000011000000100000000000000:111111111111122111111111110000000000000000000100000011000000011001111100000000000000:111111111111100111111110000000000000111111111110000022000000111001111100000000000000:111111111111100222222200000011444411111111111111100022001100111001111100000000000000:111111111111111111111111111111111111111111111111111111111111111001111100000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:,,,,
crop_bottomright,69.5,18.5,,
player,2.5,13.5,,
diamond,22.5,11.5,,
diamond,23.5,10.5,,
diamond,22.5,9.5,,
buggy,19.5,14.5,,
flag,44.5,6.5,,
exit,63.5,17.5,,
buggy,37.5,15.5,,
buggy,39.5,15.5,,
buggy,41.5,15.5,,
buggy,43.5,15.5,,
scarab,30.5,3.5,,
diamond,55.5,17.5,,
diamond,54.5,16.5,,
diamond,49.5,1.5,,
diamond,51.5,1.5,,
diamond,53.5,1.5,,
diamond,68.5,8.5,,
diamond,68.5,10.5,,
diamond,68.5,12.5,,
diamond,14.5,16.5,,
diamond,13.5,17.5,,
