111000111111111111111111111111111111111111111111111111111111110000000000000000000000:111000111111111111111111111111111111111111111111111111111111110000000000000000000000:111000000111111111111111111111100000000000000000000001111111110000000000000000000000:111000000000000000000000000111100000000000000000000000000001110000000000000000000000:111000000000000000000000000111100000000000000000000000000001110000000000000000000000:111000000000000000000000000111100001133311100000000000000001110000000000000000000000:111000000000000000000000000111133331100011100111110000000011110000000000000000000000:111000000000000000000000000000000001133311100111110000000011110000000000000000000000:111000000000000000000000000000000001100011100111110011000011110000000000000000000000:111000000000000000000000000000000001100011100000000011000011110000000000000000000000:111000000000000000000000000000000001100011100000000011110011110000000000000000000000:111000000000000000000000111000000001100011100000000011110011110000000000000000000000:111000000000000000000000111000000001100011100000000011110011110000000000000000000000:111000000000000000000000111000000001100011100000000011110011110000000000000000000000:111111111110000000000000111000000000000001100000000011110011110000000000000000000000:111111111110000000000000111000000000000001100000000011110011110000000000000000000000:111111111110000000000000111000000000000001100000000011110011110000000000000000000000:111111111110000000000000111000000000000001100000000011110011110000000000000000000000:111111111110000000000000111000000000000001100000000011110011110000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:,,,,
player,4.5,13.5,,
mushroom,14.5,14.5,3,1
mushroom,30.5,14.5,5,1
crop_bottomright,61.5,18.5,,
sign8,7.5,13.5,,
mushroom,17.5,11.5,4,1
tutorial1,32.5,10.5,,
tutorial4,33.5,10.5,,
sign9,25.5,10.5,,
mushroom,37.5,13.5,3,1
diamond,15.5,12.5,,
diamond,15.5,10.5,,
diamond,32.5,4.5,,
diamond,33.5,3.5,,
diamond,38.5,3.5,,
scarab,38.5,9.5,,
buggy2,48.5,9.5,,
exit,56.5,17.5,,
diamond,58.5,5.5,,
diamond,58.5,4.5,,
diamond,58.5,3.5,,
mushroom,32.5,17.5,8,1
