111111111111111111111111111111111111111111111111111111111111111111111100000000000000:111111111110011111111111111110000011000000111110000000111100000011111100000000000000:111111111110011111111000010110000010000000111100000000111100000011111100000000000000:111111111111110000011000011100000010000000000100000000111100000000001100000000000000:111100000000000000000000001100000010000000000100001222110000000000001100000000000000:111100000000000000000000001100222220000000000100222222000000000000011100000000000000:111100000000000000000000001111111111110000011111111222111113333001111100000000000000:110000000000222221111133331111000000000000011110001222111100000001111100000000000000:110000000000222221111000001111000000000000010000001222111100000001111100000000000000:110000000000222222220000001111000000000000000000000222222222000001111100000000000000:110000000000222222220000333111000000000000000000000222222222000000011100000000000000:110000000000222221000000000111000001111111111330000222221100031100011100000000000000:110000000000222221000000000111333331111000111000000222221100001100011100000000000000:110000000111222221000000000111000000000000111000001222111110011100011100000000000000:111110000111222221000000111111000000000000111000111222111110011100111100000000000000:111111111111222221100000100111000000000000111111111222111111111100111100000000000000:111111111111222221111111100111000001100000111111111222111111111110111100000000000000:111111111111222221111111111011111111100000111111111222111111111111111100000000000000:111111111111222221111111111111111111110000111101111222111111111111111100000000000000:111111111111000001110000001111110000013331110011110000001111111111111100000000000000:111000111000000000000000000000000000000001110010000000000000111111111100000000000000:111000000000000000000000000000000000000001111110000000000000011111111100000000000000:100000000000000000000000000000000000000001111110000000000000011111111100000000000000:100000000000000000000000000010000000000001111111100000000000011101111100000000000000:110000000000000001111113300011113331114441111111100000000000011610001100000000000000:111111000011000001100010000011110001111111111111100111000000005610001100000000000000:100111111111111111100010000000000001100000000011111111110000005670001100000000000000:100111111111111100100010000000000001100000000000111111110000005670001100000000000000:111111111111111100111111110000000111100000000000220111110000005111111100000000000000:111111111111111111111111111111111111133331110000111111110000011111001100000000000000:111111111111111111111111111111111111100000000000111111110000000001001100000000000000:111111111111111111111111111111111111100222222222222222200000000001111100000000000000:111111111111111111111111111111111111122222111111111111111111111001111100000000000000:111111111111111111111111111111111111122222111111111111111111111001111100000000000000:111111111111111111111111111111111111122222111111111111111111111001111100000000000000:111111111111111111111111111111111111122222111111111111111111111001111100000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:,,,,
player,3.5,13.5,,
diamond,20.5,14.5,,
diamond,21.5,14.5,,
diamond,22.5,14.5,,
diamond,20.5,5.5,,
diamond,19.5,5.5,,
diamond,18.5,5.5,,
virus,20.5,9.5,,
virus,20.5,10.5,,
virus,12.5,19.5,,
virus,13.5,19.5,,
virus,14.5,19.5,,
virus,15.5,19.5,,
virus,15.5,19.5,,
virus,16.5,19.5,,
diamond,3.5,23.5,,
diamond,4.5,23.5,,
buggy,7.5,25.5,,
virus,28.5,21.5,,
virus,28.5,20.5,,
diamond,27.5,21.5,,
diamond,29.5,21.5,,
diamond,30.5,21.5,,
buggy,28.5,28.5,,
buggy,32.5,28.5,,
virus,34.5,16.5,,
virus,33.5,16.5,,
virus,32.5,16.5,,
virus,31.5,16.5,,
virus,30.5,16.5,,
diamond,39.5,20.5,,
diamond,39.5,21.5,,
diamond,39.5,22.5,,
diamond,42.5,7.5,,
diamond,41.5,6.5,,
diamond,40.5,5.5,,
virus,29.5,5.5,,
diamond,31.5,3.5,,
diamond,32.5,2.5,,
virus,60.5,10.5,,
diamond,48.5,3.5,,
diamond,50.5,2.5,,
diamond,52.5,3.5,,
virus,54.5,5.5,,
virus,38.5,31.5,,
virus,50.5,28.5,,
key_blue,50.5,28.5,,
scarab,66.5,26.5,,
virus,60.5,9.5,,
key_green,47.5,28.5,,
key_red,42.5,28.5,,
virus,64.5,15.5,,
virus,66.5,13.5,,
virus,65.5,16.5,,
virus,60.5,14.5,,
virus,59.5,14.5,,
virus,58.5,12.5,,
virus,47.5,5.5,,
diamond,50.5,10.5,,
diamond,49.5,10.5,,
diamond,48.5,10.5,,
diamond,33.5,10.5,,
virus,55.5,5.5,,
virus,55.5,5.5,,
virus,56.5,5.5,,
diamond,57.5,5.5,,
diamond,58.5,5.5,,
diamond,31.5,21.5,,
crop_bottomright,69.5,35.5,,
exit,63.5,35.5,,
diamond,64.5,7.5,,
diamond,63.5,6.5,,
virus,47.5,22.5,,
virus,49.5,25.5,,
virus,50.5,25.5,,
virus,54.5,25.5,,
virus,59.5,20.5,,
virus,60.5,21.5,,
virus,51.5,19.5,,
virus,50.5,19.5,,
flag,52.5,24.5,,
flag,36.5,10.5,,
diamond,32.5,11.5,,
diamond,34.5,9.5,,
virus,37.5,31.5,,
