111111111111111111111111111111222111110000000000000000000000000000000000000000000000:100051111111111111111111111111222111110000000000000000000000000000000000000000000000:100052222222000111111111111111222111110000000000000000000000000000000000000000000000:100052222222000111111111111111000111110000000000000000000000000000000000000000000000:100011111111100000001111111111000111110000000000000000000000000000000000000000000000:100011111111100000001111111111000111110000000000000000000000000000000000000000000000:100011111111100000001100001111000111110000000000000000000000000000000000000000000000:100002222222222222222200001111000111110000000000000000000000000000000000000000000000:100002222222222222222200001111000111110000000000000000000000000000000000000000000000:100011111111111112211110001111000111110000000000000000000000000000000000000000000000:100011111111111112211110001111000111110000000000000000000000000000000000000000000000:100011111111111112221110001111000111110000000000000000000000000000000000000000000000:100011111111111111221110001111000111110000000000000000000000000000000000000000000000:100011111111111111221110001111000111110000000000000000000000000000000000000000000000:100011111000002222222700000000000111110000000000000000000000000000000000000000000000:100011111000002222222700000000000111110000000000000000000000000000000000000000000000:100011111000001110001133333111111111110000000000000000000000000000000000000000000000:122211111111111110001140000111111111110000000000000000000000000000000000000000000000:122210001111111110001140000111000000010000000000000000000000000000000000000000000000:100000001100000000001140000111000000010000000000000000000000000000000000000000000000:100000001100000000001140000111000000010000000000000000000000000000000000000000000000:111112221100000000001140000111000110010000000000000000000000000000000000000000000000:111112221100000000001100000111000112210000000000000000000000000000000000000000000000:100002224400000000001133333111000112210000000000000000000000000000000000000000000000:100002220000000000002200000111000112210000000000000000000000000000000000000000000000:100002220000000000002200000111000112210000000000000000000000000000000000000000000000:122212221100004111111111111111000112210000000000000000000000000000000000000000000000:122212221100000111111111111111000112210000000000000000000000000000000000000000000000:122200001140000100000000000022000112210000000000000000000000000000000000000000000000:122210001100000100000000000022000112210000000000000000000000000000000000000000000000:122210001100004100111144411111333112210000000000000000000000000000000000000000000000:122210001100000100111111111111000112210000000000000000000000000000000000000000000000:155510000000000100000444000001000000010000000000000000000000000000000000000000000000:100010000000000100000000000001000000010000000000000000000000000000000000000000000000:100011114441111111144111441111000110010000000000000000000000000000000000000000000000:100011111111111111111111111111000110010000000000000000000000000000000000000000000000:100002222222222222222222222222000110010000000000000000000000000000000000000000000000:100002222222222222222222222222000114410000000000000000000000000000000000000000000000:111111111111111111111111111111666111110000000000000000000000000000000000000000000000:111111111111111111111111111111000111110000000000000000000000000000000000000000000000:111111111111111111111111111111000111110000000000000000000000000000000000000000000000:111111111111111111111111110000000111110000000000000000000000000000000000000000000000:111111111111111111111111110000000111110000000000000000000000000000000000000000000000:111111111111111111111111110011111111110000000000000000000000000000000000000000000000:111111111111111111111111110011111111110000000000000000000000000000000000000000000000:111111111111111111111111110011111111110000000000000000000000000000000000000000000000:111111111111111111111111110011111111100000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:,,,,
flag,2.5,20.5,,
diamond,2.5,10.5,,
diamond,2.5,13.5,,
diamond,2.5,16.5,,
key_blue,2.5,28.5,,
flag,24.5,22.5,,
diamond,24.5,8.5,,
diamond,24.5,11.5,,
diamond,24.5,14.5,,
diamond,11.5,30.5,,
diamond,11.5,26.5,,
buggy2,9.5,16.5,,
key_red,10.5,15.5,,
scarab,18.5,11.5,,
buggy2,17.5,6.5,,
buggy2,13.5,6.5,,
buggy,21.5,29.5,,
crop_bottomright,37.5,46.5,,
diamond,31.5,21.5,,
diamond,31.5,24.5,,
diamond,31.5,27.5,,
diamond,31.5,32.5,,
diamond,31.5,35.5,,
exit,26.5,45.5,,
diamond,31.5,40.5,,
buggy,22.5,33.5,,
key_green,27.5,32.5,,
player,31.5,4.5,,
diamond,13.5,28.5,,
diamond,13.5,32.5,,
flag,31.5,29.5,,
arrow_left,28.5,14.5,,
arrow_right,2.5,2.5,,
arrow_left,5.5,28.5,,
