111111100011111111111111111111111111111111000000000000000000000000000000000000000000:111111100011111111111111111111111111111111000000000000000000000000000000000000000000:111111100011111111111111111111111111111111000000000000000000000000000000000000000000:100001100011111111111111111111111111111111000000000000000000000000000000000000000000:100000000011111111111111111111111111111111000000000000000000000000000000000000000000:100000000013331111111111111111111111111111000000000000000000000000000000000000000000:122211111110001111111111111111111111111111000000000000000000000000000000000000000000:122200000000001111111111111111111111111111000000000000000000000000000000000000000000:100000000000001111133333311000000000111111000000000000000000000000000000000000000000:100000000001001111100000055000000000011111000000000000000000000000000000000000000000:100000000001221331100110055000000000011111000000000000000000000000000000000000000000:111110000001000000100113011111100000011111000000000000000000000000000000000000000000:111110000111000002222200011111113300011111000000000000000000000000000000000000000000:111114444111000002222200011111110000011111000000000000000000000000000000000000000000:111111111111000000100111111111110000011111000000000000000000000000000000000000000000:111110000225000000100111111111000000011111000000000000000000000000000000000000000000:111110000225000000100111111111000000011111000000000000000000000000000000000000000000:111112222111114444100111111111000000011111000000000000000000000000000000000000000000:111112222111111111100111111111333111111111000000000000000000000000000000000000000000:111110000111111111100111111111000000001111000000000000000000000000000000000000000000:111110000111111111100111111111000000001111000000000000000000000000000000000000000000:111110000331111111100111111111000000001111000000000000000000000000000000000000000000:111110000000111111100111111111222133331111000000000000000000000000000000000000000000:111113333000111111100111111111222100001111000000000000000000000000000000000000000000:111110000000002250000000000000111100001111000000000000000000000000000000000000000000:111110000000002250000000000000002222001111000000000000000000000000000000000000000000:111110000000002250000000000000002222001111000000000000000000000000000000000000000000:111110000000002250000311111133331111661111000000000000000000000000000000000000000000:111110001111111111000011111100000111331111000000000000000000000000000000000000000000:111112221111111111000011111000000011001111100000000000000000000000000000000000000000:111112221111111111444411111444444411001111000000000000000000000000000000000000000000:111112221111111111111111111111111111001111000000000000000000000000000000000000000000:111112220000111000000000100000000001001111000000000000000000000000000000000000000000:111112220000110000000000100000000001001111000000000000000000000000000000000000000000:111110000122100000000122100222222222001111000000000000000000000000000000000000000000:111110003100000000000100000622600001111111000000000000000000000000000000000000000000:111110000100000000000100000622600001111111000000000000000000000000000000000000000000:111116661100111111111111111111111111111111000000000000000000000000000000000000000000:111112221111111111111111111111111111111111000000000000000000000000000000000000000000:111110002020200011111111111111111111111111000000000000000000000000000000000000000000:111110002020200011111111111111111111111111000000000000000000000000000000000000000000:111111111111110011111111111111111111111111000000000000000000000000000000000000000000:111111111111110011111111111111111111111111000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:,,,,
player,8.5,5.5,,
diamond,2.5,8.5,,
diamond,13.5,12.5,,
diamond,12.5,12.5,,
diamond,19.5,20.5,,
diamond,19.5,21.5,,
diamond,19.5,22.5,,
buggy,27.5,26.5,,
buggy,34.5,21.5,,
key_red,28.5,10.5,,
crop_bottomright,41.5,42.5,,
crop_bottomright,41.5,42.5,,
diamond,36.5,14.5,,
diamond,36.5,15.5,,
diamond,36.5,10.5,,
diamond,36.5,9.5,,
flag,22.5,9.5,,
diamond,5.5,20.5,,
diamond,5.5,19.5,,
diamond,9.5,39.5,,
diamond,11.5,39.5,,
scarab,6.5,16.5,,
horzbug,34.5,13.5,,
horzbug,34.5,10.5,,
vertbug,19.5,34.5,,
buggy,15.5,36.5,,
horzbug,31.5,33.5,,
diamond,29.5,36.5,,
diamond,28.5,36.5,,
diamond,28.5,34.5,,
diamond,31.5,34.5,,
diamond,34.5,34.5,,
key_green,33.5,36.5,,
exit,14.5,41.5,,
arrow_down,19.5,10.5,,
arrow_down,6.5,25.5,,
