1111111111111111111111111111111111111111111111111111111111111111:1111111111111111111111111111111111105001100601111111111111111111:1111117110000011161100000115111111111001100111111111100000001111:1100007000000000060000000005000000000000000072222222700000001111:1000007000000000060000000005000000000000000072222222700000000011:1000007000000000060000000005000000000000000000000001110000000011:1000007000000000060000000005000000000000000000000001100000000011:1133311113333311111133333155166177111777777111000001100000000011:1666661110000011111100000100100100111000000111000001100111110011:1000000000000011111100000100100100111444444111222221100111110011:1000000000000011000500000111111111111111111111222221100111110011:1111000000000011000500000111111000000000000000000001100000000011:1111111110000011000500000111111000000555555500000001100000000011:1111111113333311000100000111100000000500000500000001111100011111:1110000060000011222100000111100000000500000500000001001122211111:1110000060000011222100000111100000005500000550000001001122211001:1110000060000011000100000100100000005500000550000001110122211101:1110000060000011000100000100111100011111111111666661111100010111:1110000313000011222100000100000122211111111111444441111100011111:1110000010000011222100000111111122211111111111111111111100011001:1110000010000011000100000022222000072222200000222220000100000001:1110000060000011000100000022222000072222200000222220000100000001:1110000060000011222100000111111100011111000000011113333111111001:1110000313000011222166116111110500060111000000011110000111111001:1110000010000011000144114111111111111111001110011110000022220001:1110000010000011000111111111111111111111441114411100000022220001:1110000010000011000111111111111111111111111111111111111111111111:1110000060000011000000000000070000700000001100010001110000001111:1110000060000010000066666600070000700000000100010001000000001111:1110000313000010000060000600077777700000000166111661000000000011:1110000010000010000060000600000000000000000000000000000000000011:1110000010000011666111111111177777711111000000000000000111100011:1110000010000011000111111111144444411100000000000000000001100011:1110000060000011000110000111111111111100000000000000000001122211:1110000060000011111110000111111111111100000000000000000001122211:1110000060000002222200000111110000111100000000777000000001100011:1110000060000002222200000011000000111144444444222444444441100011:1110000060000011111113331111000000001111111111222111111111100001:1111111111111111111110001111000000001100000022222220000000000001:1100000000222222222000000011000000001100000022222220000000000001:1100000000222222222000000011001333331110001111222111166611166611:1110000000222222222000000011001000001112221111777111144411100011:1113333311111111111111111111001000001112221110000011111111111111:1110000011111111111111111111001000001112221100000001100000111111:1110000000000000000000000000001000001112221100000007000000000011:1000000000000000000000000000001000001112221100000007000000000011:1000000000000000000000000000001000001112221100000007000000000011:1111110011111110001111111001111000001112221100000001133300333111:1111010011111110001111111001111000001112221110000011100000000111:1011110011111110001111111001110000001110001111111111100000000111:1111110000000000000000000001100000000000006222222222600000000011:1011016600000006660000000661111100000000006222222222600000000111:1100114444444444444444444441111111111111111111111111111100111111:1111111111111111111111111111111111111111111111111111111100111111:0000000000000000000000000000000000000000000000000000000000000000:0000000000000000000000000000000000000000000000000000000000000000:0000000000000000000000000000000000000000000000000000000000000000:0000000000000000000000000000000000000000000000000000000000000000:0000000000000000000000000000000000000000000000000000000000000000:0000000000000000000000000000000000000000000000000000000000000000:0000000000000000000000000000000000000000000000000000000000000000:0000000000000000000000000000000000000000000000000000000000000000:0000000000000000000000000000000000000000000000000000000000000000:0000000000000000000000000000000000000000000000000000000000000000:,,,,
player,31.5,6.5,,
buggy,48.5,8.5,,
diamond,47.5,7.5,,
diamond,48.5,7.5,,
diamond,49.5,7.5,,
diamond,48.5,12.5,,
diamond,48.5,13.5,,
diamond,48.5,14.5,,
buggy2,57.5,7.5,,
buggy2,57.5,11.5,,
buggy,30.5,23.5,,
buggy,36.5,23.5,,
diamond,33.5,16.5,,
diamond,33.5,15.5,,
diamond,33.5,21.5,,
diamond,33.5,22.5,,
diamond,53.5,3.5,,
diamond,54.5,4.5,,
diamond,55.5,3.5,,
key_red,22.5,5.5,,
key_blue,3.5,5.5,,
buggy,17.5,17.5,,
buggy,17.5,21.5,,
diamond,17.5,11.5,,
diamond,17.5,12.5,,
diamond,22.5,8.5,,
diamond,22.5,14.5,,
diamond,22.5,20.5,,
diamond,56.5,4.5,,
diamond,27.5,28.5,,
diamond,27.5,29.5,,
diamond,43.5,21.5,,
diamond,43.5,22.5,,
diamond,57.5,18.5,,
diamond,57.5,20.5,,
diamond,47.5,31.5,,
diamond,56.5,29.5,,
diamond,53.5,30.5,,
diamond,54.5,29.5,,
diamond,57.5,29.5,,
diamond,59.5,29.5,,
diamond,60.5,30.5,,
buggy,61.5,41.5,,
scarab,47.5,45.5,,
diamond,45.5,44.5,,
diamond,46.5,43.5,,
diamond,48.5,43.5,,
diamond,49.5,44.5,,
diamond,45.5,46.5,,
diamond,46.5,47.5,,
diamond,48.5,47.5,,
diamond,49.5,46.5,,
exit,56.5,52.5,,
crop_bottomright,63.5,53.5,,
key_green,11.5,5.5,,
fuzzy,38.5,42.5,1,1
node,38.5,42.5,,
node,42.5,42.5,,
fuzzy,42.5,47.5,1,1
node,42.5,47.5,,
node,38.5,47.5,,
buggy,2.5,10.5,,
buggy2,11.5,46.5,,
buggy2,11.5,50.5,,
buggy2,21.5,46.5,,
buggy2,21.5,50.5,,
diamond,33.5,48.5,,
diamond,33.5,46.5,,
diamond,33.5,44.5,,
diamond,33.5,41.5,,
diamond,32.5,42.5,,
diamond,34.5,42.5,,
fuzzy,2.5,15.5,1,1
node,2.5,15.5,,
node,3.5,15.5,,
node,3.5,20.5,,
node,2.5,20.5,,
fuzzy,14.5,21.5,1,1
node,14.5,21.5,,
node,13.5,21.5,,
node,13.5,27.5,,
node,14.5,27.5,,
fuzzy,2.5,35.5,1,1
node,2.5,35.5,,
node,3.5,35.5,,
node,3.5,28.5,,
node,2.5,28.5,,
diamond,11.5,11.5,,
diamond,11.5,9.5,,
diamond,11.5,10.5,,
flag,29.5,9.5,,
flag,32.5,9.5,,
platform_moving,40.5,33.5,5,1
node,40.5,33.5,,
node,40.5,33.5,,
node,54.5,33.5,,
diamond,36.5,28.5,,
diamond,36.5,29.5,,
drooler,44.5,27.5,,
drooler,50.5,27.5,,
fuzzy,38.5,13.5,1,1
node,38.5,13.5,,
node,40.5,13.5,,
node,40.5,17.5,,
node,38.5,17.5,,
fuzzy,30.5,28.5,1,1
