111111111111111111111111111111111111111111111111111111111111111100000000000000000000:111111111111111111111111111111111111111111111111111111111111111100000000000000000000:111100000001111110000111000001110000111111000001111110000000001100000000000000000000:111100000000111100000000000000000000011110000000000000000000000100000000000000000000:110000000000111100000000000000000000011110000000000000000000000100000000000000000000:110000000000111100000000000000000000011110000000000000000000000100000000000000000000:110000000000111100000000000000000000011110000000000000000000001100000000000000000000:111110000000111100000111333331000000011113333311111111100000001100000000000000000000:111110000000111100000222000001110000011110000022200000100000001100000000000000000000:111111122222111100000222000001112222211110000022200000100000111100000000000000000000:111111122222111100000222000001112222211110000022200000122222111100000000000000000000:111111100000011100000111000001110000000000000022200000122222111100000000000000000000:111111100000011100000111000001110000000000000022200000100000111100000000000000000000:111110000000000100000222000001110000011110000022200000100000111100000000000000000000:111110000000000100000222000001110000011110000022200000100000111100000000000000000000:111111000000000000000222000001110000000000000022200000100000111100000000000000000000:111111111110000000000111000011110000000000000011100000122222111100000000000000000000:111111111111111111111111110011111111111111111111100000122222111100000000000000000000:111111111111111111111111111111111111111111111111100000100000111100000000000000000000:111111111111111110011111111111111111111111111111000000100000111100000000000000000000:111100000111001100011110001111100001110000111110000000100000111100000000000000000000:111100000000001100000000000111000000000000010000000000100000111100000000000000000000:110000000000001100000000000111000000000000010000000000122222111100000000000000000000:110000000000001100000000000111000000000000010000000000122222111100000000000000000000:111000111000001100011100000111000000000000010000000000100000111100000000000000000000:111222111000001122211100000111000001110000011000000000100000111100000000000000000000:111222112000001122211200000111222221110000011111100001100000111100000000000000000000:111222112000001122211200000111222221110000011111100001100000111100000000000000000000:111121111000002122211100000111000001110000000000222222000000011100000000000000000000:111101111000002122211100000111000001110000000000222222000000011100000000000000000000:111001111000001122211200000111000001110000000000222222000000011100000000000000000000:111001112000001122211200000111000001113333311111100001100000111100000000000000000000:111000112000001122211100000111000001110000011111100001111111111100000000000000000000:111000111000002122211100000000000001110000011111100001111111111100000000000000000000:111000111000002122211200000000000001110000000000000000000000011100000000000000000000:111222111000001100011200000000000001110000000111000000000000411100000000000000000000:111222111000001100011100003111333331111111110111111111000001111100000000000000000000:110000011000001100011000000111000001111111114111111111441111111100000000000000000000:110000111000000000011000000000000001111111111111111111111111111100000000000000000000:111222111000000000011000000000000001111111111111111111111111111100000000000000000000:111222111000000000011000000000001111111111111111111111111111111100000000000000000000:110000111000331111111111111111111111111111111111111111111111111100000000000000000000:111000111000000000000000000111000000000000000000011111111111111100000000000000000000:111222111000000000111100000111000000000000000000011111111111111100000000000000000000:111222111000000000111100000111000000000000000000011111110000111100000000000000000000:111000111000003111111100000111000000000000000000011100010000111100000000000000000000:110000111111000111111100000111666666600000555555500000000000111100000000000000000000:110000011111111111111100000000000000600000500000000000000000001100000000000000000000:110000011111111111111100000000000000600000500000000000000000001100000000000000000000:110000000000000000000000000000000000600000500000000000000000001100000000000000000000:110000000000000000000000000000000000600000500000000000000000001100000000000000000000:110000000111110111110000000000000000000000000000001111000000001100000000000000000000:110000000000000000000000000000000000000000000000001111001111001100000000000000000000:110111000000000000000000001111100000000000000000111111111111001100000000000000000000:111111111144444444111111111111111111114441111111111111111111001100000000000000000000:111111111111111111111111111111111111111111111111111111111111001100000000000000000000:111111111111111111111111111111111111111111111111111111111111001100000000000000000000:111111111111111111111111111111111111111111111111111111111111001100000000000000000000:111111111111111111111111111111111111111111111111111111111111001100000000000000000000:111111111111111111111111111111111111111111111111111111111111001100000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:,,,,
diamond,18.5,6.5,,
diamond,19.5,5.5,,
diamond,22.5,5.5,,
diamond,21.5,4.5,,
diamond,23.5,4.5,,
buggy2,38.5,12.5,,
buggy2,39.5,15.5,,
buggy,14.5,16.5,,
buggy,18.5,16.5,,
diamond,43.5,4.5,,
diamond,42.5,4.5,,
diamond,44.5,4.5,,
diamond,43.5,5.5,,
diamond,43.5,3.5,,
player,3.5,6.5,,
diamond,44.5,29.5,,
diamond,45.5,29.5,,
diamond,46.5,29.5,,
diamond,56.5,29.5,,
diamond,57.5,28.5,,
diamond,56.5,27.5,,
diamond,58.5,27.5,,
diamond,58.5,29.5,,
diamond,57.5,30.5,,
diamond,57.5,26.5,,
buggy,46.5,25.5,,
buggy,56.5,36.5,,
flag,36.5,24.5,,
buggy,57.5,15.5,,
buggy,56.5,21.5,,
buggy,58.5,21.5,,
diamond,11.5,32.5,,
diamond,11.5,35.5,,
diamond,11.5,29.5,,
diamond,11.5,26.5,,
diamond,11.5,29.5,,
diamond,11.5,32.5,,
diamond,11.5,32.5,,
diamond,11.5,32.5,,
diamond,6.5,22.5,,
diamond,7.5,21.5,,
diamond,8.5,22.5,,
buggy2,10.5,50.5,,
buggy2,18.5,52.5,,
buggy2,18.5,50.5,,
buggy2,10.5,52.5,,
diamond,3.5,50.5,,
diamond,4.5,49.5,,
diamond,5.5,50.5,,
diamond,4.5,51.5,,
scarab,39.5,44.5,,
exit,60.5,53.5,,
diamond,31.5,44.5,,
diamond,32.5,43.5,,
diamond,33.5,44.5,,
diamond,34.5,43.5,,
diamond,47.5,44.5,,
diamond,46.5,43.5,,
diamond,45.5,44.5,,
diamond,44.5,43.5,,
buggy,4.5,34.5,,
buggy,3.5,38.5,,
buggy,5.5,42.5,,
crop_bottomright,63.5,56.5,,
crop_bottomright,63.5,56.5,,
crop_bottomright,63.5,56.5,,
key_red,44.5,34.5,,
key_green,22.5,42.5,,
diamond,18.5,8.5,,
diamond,18.5,10.5,,
arrow_right,43.5,9.5,,
arrow_right,50.5,9.5,,
arrow_right,50.5,13.5,,
arrow_right,43.5,13.5,,
arrow_right,15.5,42.5,,
arrow_right,23.5,42.5,,
