111000111111111111111111111111111111111111111111111111111111111111111111111111000000:111000111111111111111111111111111111111111111111111111111111111111111111111111000000:110000000111111111111111111111111111111100000000000000000000011111111111111111000000:110000000111111111111111111111111000000000000000000000000000011111111111111111000000:110000000000011111111111111111111000000000000000000000000000000000001111111111000000:110000000000011111111111111111111000000000000000000000000000000000001111111111000000:110000000000011111111111110000222000000000000000000000000000000000001111111111000000:110000000000011111111111110000222000000000000000000000000000000000001111111111000000:110000000000011111111111111111111333000000000000000000000000000000001111111111000000:110000000000011111111111111111111000000000000000000000000000000000001111111111000000:110000000000000002220000000000000000003331111110001111000111122222111111111111000000:110000000000000002220000000000000000000001111110001111000111122222111111111111000000:110000000000000002220000000000000000000001111114441111444111100000000000111111000000:110000000000000002220000000000000000001111111111111111111111100000000000111111000000:111111110000000002220000000000110011001111111111111111111111111100000000111111000000:111111110000000002220000000000111111111111111111111111111111111100000000111111000000:111111110000000002220000000000111111111111111111111111111111111111111100111111000000:111111111111111111111111111111111111111111111111111111111111111111111100111111000000:111111111111111111111111111111111111111111111111111111111111111111111100111111000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:,,,,
player,5.5,13.5,,
sign1,6.5,13.5,,
sign2,15.5,16.5,,
sign3,28.5,7.5,,
scarab,27.5,7.5,,
sign4,24.5,16.5,,
diamond,26.5,14.5,,
diamond,27.5,13.5,,
diamond,31.5,12.5,,
diamond,32.5,11.5,,
diamond,34.5,7.5,,
buggy,53.5,9.5,,
sign5,45.5,9.5,,
sign6,64.5,9.5,,
exit,70.5,17.5,,
sign7,67.5,15.5,,
diamond,51.5,8.5,,
diamond,52.5,8.5,,
crop_bottomright,77.5,18.5,,
tutorial1,62.5,7.5,,
tutorial1,12.5,14.5,,
tutorial3,13.5,14.5,,
tutorial4,63.5,7.5,,
arrow_left,37.5,6.5,,
