000000000000000000000001111111111111111101101101000000000000000000000000000000000000:000000000000000000000001100000000000011111111111000000000000000000000000000000000000:000000000000000000000001000000000000000000000001000000000000000000000000000000000000:000000000000000000000001000000000000000000000001000000000000000000000000000000000000:000000000000000000000001111111001111111113110001000000000000000000000000000000000000:000000000000001111110101111111001111111110110001111111000000000000000000000000000000:000000000000004411110101111111221111111110110001111100000000000000000000000000000000:000000000000000001111111111111221111111110110001111000000000000000000000000000000000:000000000000000001111111111111221111111110110000011000000000000000000000000000000000:000000000000000000111110000001221111111110110001110000000000000000000000000000000000:000000000000000000111100000001221000000110110001110000000000000000000000000000000000:000000000000000000111100000002222000000100000001110000000000000000000000000000000000:440000000000000000111100000002222000000110110001110000000000000000000000000000000000:110000000000000000111100770002222000000110110001110000000000000000000000000000000000:110000000000000000111100777771221000000000000001110000000000000000000000000000000000:110000000000000000111100000001221000000000000001110101010100000000000000000000000000:110011111111111221111111111111221000000000000001111111111111000000000000000000000000:110014441111100000000222222227222000011111111111100001111100000000000000000000000000:110010000111100000000222222227222000011111000000000000111000000000000000000000000000:110010000111100001111111111111221000060006000000000000110000000000000000000000000000:110020000111100000111111111111221000060006000000000000100000000000000000000000000000:110020000100100000111000000001221111111111133111111111100000000000000000000000000000:000000000100100000111000000001221111111111100111111111100000000000000000000000000000:000000000000000000111000000001221110000001155111000000100000000000000000000000000000:000000000000000000111000011002225000000000033022000000100000000000000000000000000000:000000000000000000111000011111221000000000000022000000100000000000000000000000000000:000000000000000000111000011111221000000000000022000000100000000000000000000000000000:000000000000000000111000000001221000003331111111000000100000000000000000000000000000:000000000000000000111000000001221000000000000011000000100000000000000000000000000000:000000000000000000111000000001221111000000000011000000100000000000000000000000000000:000000000000000000111000000001221110000114422211000000100000000000000000000000000000:000000000000000000100000000002222000000000000011000000100000000000000000000000000000:000000000000000444111000000002222000000000000011000000100000000000000000000000000000:000000000000000111111111111111221111111333311111000000111100000000000000000000000000:000000000000000041111000000111221111111000011111000000110000000000000000000000000000:000000000000000001110000000011221111111111111111000000110000000000000000000000000000:000000000000000001110000000011221111111111111111000000110000000000000000000000000000:000000000000000004100000000001221110000000001111331111100000000000000000000000000000:000000000000000000100000000001221110000000000111000000100000000000000000000000000000:000000000000000000100000000001221111001110000111000000110000000000000000000000000000:000000000000000000100000000002222222222000000111000333100000000000000000000000000000:000000000000000000100000000002222222222000000111000000100000000000000000000000000000:000000000000004444100333001111221111221111111111000000100000000000000000000000000000:000000000000041111100000001111221110000010000000000000100000000000000000000000000000:000000000000011111100000001111221110000020000000000000100000000000000000000000000000:000000000000011111100000001111221110000020000002000300100000000000000000000000000000:000000000000011000000000001111221110000020000002000000100000000000000000000000000000:000000000000011111100000000001221110000010000002000000100000000000000000000000000000:000000000000011111100000001111221110000010000001111333100000000000000000000000000000:000000000000011111100000001111221114444410000001110000100000000000000000000000000000:000000000000011111100000001111221111111114444441111111100000000000000000000000000000:000000000000011110000000000011221111111111111111111111100000000000000000000000000000:000000000000411111100000001111221111111111111111111111144000000000000000000000000000:000000000000111111100000001111221111111111111111111111111000000000000000000000000000:000000000000111111100000001111221111111111111111111111111000000000000000000000000000:000000000000111111100000001111221100001111111111111111111000000000000000000000000000:000000000000111111100000000000220000001000001111111111111000000000000000000000000000:000000000004111111100000000000220000001000000111111111111000000000000000000000000000:000000000001111111111111111111221113000000000111111111111000000000000000000000000000:000000000001111111111111111111221110000000000111111111111400000000000000000000000000:000000000001111111111111111111221110001111111111111111111100000000000000000000000000:444444444441111111111111111111221110001111111111111111111100000000000000000000000000:111111111111111111111111111111001111111111111111111111111144444444000000000000000000:111111111111111111111111111111001111111111111111111111111111111111000000000000000000:111111111111111111111111111111001111111111111111111111111111111111000000000000000000:111111111111111111111111111111001111111111111111111111111111111111000000000000000000:111111111111111111111111111111001111111111111111111111111111111111000000000000000000:111111111111111111111111111111001111111111111111111111111111111111000000000000000000:111111111111111111111111111100000000000000000000000000000000000111000000000000000000:111111111111111111111111111100000000000000000000000000000000000111000000000000000000:111111111111111111111111111000000000000000000000000000000000000011000000000000000000:111111111111111111111111111000000000000000000000000000000000000011000000000000000000:111111111111111111111111111000000000000000000000000000000000000011000000000000000000:111111111111111111111111111000000000000000000000000000000000000011000000000000000000:111111111111111111111111111000000000000000000000000000331111113311000000000000000000:111111111111111111111111111111221333331111333311113333111111111111000000000000000000:111111111111111111111111111111111000001111000011110000111111111111000000000000000000:111111111111111111111111111111111444441111444411114444111111111111000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:000000000000000000000000000000000000000000000000000000000000000000000000000000000000:,,,,
fuzzy,35.5,61.5,1,1
fuzzy,36.5,61.5,1,1
fuzzy,37.5,61.5,1,1
platform_moving_solid,19.5,46.5,4,1
node,19.5,46.5,,
node,15.5,46.5,,
platform_moving_solid,22.5,47.5,4,1
node,22.5,47.5,,
node,26.5,47.5,,
prion,17.5,51.5,,
prion,27.5,51.5,,
mushroom,21.5,54.5,3,1
fuzzy,19.5,45.5,1,1
fuzzy,19.5,44.5,1,1
fuzzy,19.5,43.5,1,1
fuzzy,25.5,45.5,1,1
fuzzy,25.5,44.5,1,1
fuzzy,25.5,43.5,1,1
fuzzy,47.5,45.5,1,1
fuzzy,47.5,44.5,1,1
fuzzy,47.5,43.5,1,1
token,43.5,46.5,,
flag,42.5,41.5,,
fuzzy,48.5,43.5,1,1
platform_rotating_clock,51.5,36,3,1
node,51.5,31.5,,
platform_rotating_counter,51.5,27,3,1
node,51.5,31.5,,
horzbug,53.5,25.5,,
fuzzy,38.5,30.5,1,1
fuzzy,37.5,30.5,1,1
fuzzy,35.5,30.5,1,1
prion,40.5,23.5,,
prion,31.5,5.5,,
prion,30.5,5.5,,
virus,23.5,32.5,,
virus,22.5,32.5,,
fuzzy,21.5,32.5,1,1
mushroom,21.5,29,3,1
fuzzy,24.5,32.5,1,1
virus,24.5,22.5,,
fuzzy,24.5,23.5,1,1
virus,24.5,21.5,,
fuzzy,24.5,24.5,1,1
fuzzy,24.5,25.5,1,1
fuzzy,24.5,26.5,1,1
prion,19.5,31.5,,
fuzzy,20.5,31.5,1,1
key_red,26.5,23.5,,
fuzzy_rotating_clock,51.5,31.5,1,1
node,52.5,31.5,,
flag,42.5,26.5,,
weeper,39.5,34.5,,
prion,49.5,17.5,,
prion,50.5,17.5,,
prion,51.5,17.5,,
prion,51.5,17.5,,
prion,52.5,17.5,,
prion,52.5,17.5,,
key_green,53.5,20.5,,
flag,39.5,20.5,,
prion,41.5,11.5,,
fuzzy,41.5,9.5,1,1
fuzzy,41.5,13.5,1,1
fuzzy,43.5,11.5,1,1
flag,19.5,18.5,,
platform_moving,15.5,19.5,2,1
node,15.5,19.5,,
node,15.5,26.5,,
platform_moving,12.5,26.5,2,1
node,12.5,26.5,,
node,6.5,26.5,,
fuzzy,25.5,15.5,1,1
fuzzy,24.5,15.5,1,1
fuzzy,26.5,15.5,1,1
fuzzy,27.5,15.5,1,1
fuzzy,28.5,15.5,1,1
key_blue,22.5,12.5,,
platform_moving_solid,44.5,8.5,3,1
node,44.5,8.5,,
node,46.5,8.5,,
scarab,11.5,14.5,,
fuzzy,23.5,15.5,1,1
fuzzy,22.5,15.5,1,1
weeper,50.5,49.5,,
fuzzy,36.5,30.5,1,1
crop_bottomright,65.5,77.5,,
mushroom,45,14,2,1
exit,58.5,70.5,,
arrow_right,35.5,14.5,,
arrow_down,30.5,2.5,,
diamond,20.5,45.5,,
diamond,20.5,44.5,,
diamond,22.5,41.5,,
diamond,37.5,39.5,,
diamond,36.5,39.5,,
diamond,48.5,31.5,,
diamond,48.5,30.5,,
diamond,2.5,16.5,,
diamond,2.5,15.5,,
diamond,10.5,15.5,,
diamond,11.5,15.5,,
diamond,12.5,15.5,,
diamond,51.5,44.5,,
diamond,53.5,39.5,,
diamond,53.5,38.5,,
diamond,52.5,19.5,,
diamond,51.5,19.5,,
diamond,49.5,19.5,,
diamond,50.5,19.5,,
diamond,44.5,11.5,,
diamond,11.5,25.5,,
diamond,10.5,25.5,,
diamond,9.5,25.5,,
player,43.5,59.5,,
arrow_left,33.5,31.5,,
prion,10.5,21.5,,
fuzzy,33.5,55.5,1,1
node,33.5,55.5,,
node,32.5,56.5,,
fuzzy,33.5,58.5,1,1
node,33.5,58.5,,
node,32.5,57.5,,
fuzzy,28.5,58.5,1,1
node,28.5,58.5,,
node,29.5,57.5,,
fuzzy,28.5,55.5,1,1
node,28.5,55.5,,
node,28.5,55.5,,
node,29.5,56.5,,
